id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen,phone,address,address_street,address_city,address_state,address_postal_code,rating,reviews_count,categories,yp_listing_url,hours_text,email
1,Urban Company,http://www.urbancompany.com/,urbancompany.com,painting service,,400,"[""apollo""]",,,2025-10-16T03:40:22.054Z,2025-10-16T03:40:22.054Z,,,,,,,,,,https://app.apollo.io/#/organizations/5ed93b5d2fa8840001b74757?overrideScoreId=score,,
2,JSW Paints,http://www.jswpaints.in/,jswpaints.in,painting service,,910,"[""apollo""]",,,2025-10-16T03:40:22.085Z,2025-10-16T03:40:22.085Z,,,,,,,,,,https://app.apollo.io/#/organizations/5fab6259d7de2a0098e9e5e8?overrideScoreId=score,,
3,Asian Paints Arabia,http://www.asianpaintsarabia.com/,asianpaintsarabia.com,painting service,,86,"[""apollo""]",,,2025-10-16T03:40:22.085Z,2025-10-16T03:40:22.085Z,,,,,,,,,,https://app.apollo.io/#/organizations/612da053c08eb40001e6d265?overrideScoreId=score,,
4,Asian Paints Nepal,http://www.asianpaintsnepal.com/,asianpaintsnepal.com,painting service,,200,"[""apollo""]",,,2025-10-16T03:40:22.086Z,2025-10-16T03:40:22.086Z,,,,,,,,,,https://app.apollo.io/#/organizations/559211d27369641b33bd1000?overrideScoreId=score,,
5,Asian Paints Causeway,http://www.asianpaintscauseway.com/,asianpaintscauseway.com,painting service,,200,"[""apollo""]",,,2025-10-16T03:40:22.087Z,2025-10-16T03:40:22.087Z,,,,,,,,,,https://app.apollo.io/#/organizations/634553cfa6f7c000e31957c5?overrideScoreId=score,,
6,EvSye Facility Management,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.087Z,2025-10-16T03:40:22.087Z,,,,,,,,,,https://app.apollo.io/#/organizations/62b542a7a36fce00018e4887?overrideScoreId=score,,
7,Berger Paints Nepal,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.088Z,2025-10-16T03:40:22.088Z,,,,,,,,,,https://app.apollo.io/#/organizations/5e565b35ad83d50001c1dcd5?overrideScoreId=score,,
8,Aadya Constructions,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.088Z,2025-10-16T03:40:22.088Z,,,,,,,,,,https://app.apollo.io/#/organizations/61d5f4c51ef77500da2ffbc5?overrideScoreId=score,,
9,Toronto Painting Service,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.088Z,2025-10-16T03:40:22.088Z,,,,,,,,,,https://app.apollo.io/#/organizations/6648afe1eb3f920001a1cd4b?overrideScoreId=score,,
10,Nu-Vision Painting Service,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.089Z,2025-10-16T03:40:22.089Z,,,,,,,,,,https://app.apollo.io/#/organizations/5fc9246223d40c000147127c?overrideScoreId=score,,
11,Maruti Suzuki Authorised Service Durgapur (The Quickest),,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.089Z,2025-10-16T03:40:22.089Z,,,,,,,,,,https://app.apollo.io/#/organizations/6729dd363177d400019e2564?overrideScoreId=score,,
12,9SM Painting Service,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.090Z,2025-10-16T03:40:22.090Z,,,,,,,,,,https://app.apollo.io/#/organizations/5e56f3fd1d6cf000016a316a?overrideScoreId=score,,
13,Nippon Paint Singapore,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.090Z,2025-10-16T03:40:22.090Z,,,,,,,,,,https://app.apollo.io/#/organizations/5da3ba3e5dc799000179b89b?overrideScoreId=score,,
14,Colour Coats Official,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.090Z,2025-10-16T03:40:22.090Z,,,,,,,,,,https://app.apollo.io/#/organizations/64f9826547b9f4000195e469?overrideScoreId=score,,
15,Chemical Biology Consortium Sweden,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.090Z,2025-10-16T03:40:22.090Z,,,,,,,,,,https://app.apollo.io/#/organizations/61ec7cf0706ca10001ed31df?overrideScoreId=score,,
16,Worksmith,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.092Z,2025-10-16T03:40:22.092Z,,,,,,,,,,https://app.apollo.io/#/organizations/55f07590f3e5bb56b9004cea?overrideScoreId=score,,
17,Roshdy Service Center | الورشة,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.093Z,2025-10-16T03:40:22.093Z,,,,,,,,,,https://app.apollo.io/#/organizations/67133036066b720001e69179?overrideScoreId=score,,
18,PT. Gamma Buana Persada,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.093Z,2025-10-16T03:40:22.093Z,,,,,,,,,,https://app.apollo.io/#/organizations/667d43a1059c880758f8122c?overrideScoreId=score,,
19,Evolve Decors,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.094Z,2025-10-16T03:40:22.094Z,,,,,,,,,,https://app.apollo.io/#/organizations/638380af64b7de0001ec8472?overrideScoreId=score,,
20,Tezoni Injeção e Pintura,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.094Z,2025-10-16T03:40:22.094Z,,,,,,,,,,https://app.apollo.io/#/organizations/661b36b039ac020007204394?overrideScoreId=score,,
21,"A Step Above Painting, LLC.",,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.094Z,2025-10-16T03:40:22.094Z,,,,,,,,,,https://app.apollo.io/#/organizations/5ed33ab4a137530001916c83?overrideScoreId=score,,
22,Auto Cobălcescu,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.094Z,2025-10-16T03:40:22.094Z,,,,,,,,,,https://app.apollo.io/#/organizations/54a1b74b7468694f8fc8af0a?overrideScoreId=score,,
23,Bond Construction Inc.,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.095Z,2025-10-16T03:40:22.095Z,,,,,,,,,,https://app.apollo.io/#/organizations/54fca4237369647f94742400?overrideScoreId=score,,
24,kalakari,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.096Z,2025-10-16T03:40:22.096Z,,,,,,,,,,https://app.apollo.io/#/organizations/5a9da303a6da98d97e770a23?overrideScoreId=score,,
25,Star Automobiles,,,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.097Z,2025-10-16T03:40:22.097Z,,,,,,,,,,https://app.apollo.io/#/organizations/5e577bc87e83710001dff9b5?overrideScoreId=score,,
26,"kalakariSave11N/A0Fine Artpet portraits+89Pimpri-Chinchwad, India",https://twitter.com/kalakaridotin/,twitter.com,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.097Z,2025-10-16T03:40:22.104Z,,,,,,,,,,https://app.apollo.io/#/organizations/5a9da303a6da98d97e770a23?overrideScoreId=score,,
27,"Star AutomobilesSave63N/A0Automotive+5Gurugram, India",http://www.linkedin.com/company/star-automobiles,linkedin.com,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.100Z,2025-10-16T03:40:22.105Z,,,,,,,,,,https://app.apollo.io/#/organizations/5e577bc87e83710001dff9b5?overrideScoreId=score,,
28,"Auto CobălcescuSave110N/A0Automotive+84Bucharest, Romania",http://www.facebook.com/BMWAutoCobalcescu,facebook.com,painting service,,,"[""apollo""]",,,2025-10-16T03:40:22.100Z,2025-10-16T03:40:22.104Z,,,,,,,,,,https://app.apollo.io/#/organizations/54a1b74b7468694f8fc8af0a?overrideScoreId=score,,
