Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Unity Painting Company,http://www.unitypaintingco.com,,,Richardson,Texas,,,,,,apollo,"painting company, painting service - Texas",https://app.apollo.io/#/organizations/6749a12aea538400012415fc?overrideScoreId=score,,,commercial painting+3,http://www.linkedin.com/company/unitypaintingco,,,,,
A&K Painting Company,http://www.akpainting.com,,,Charlotte,North Carolina,,,,,,apollo,"painting company, painting service - North Carolina",https://app.apollo.io/#/organizations/54a11eb469702d77c29b9b01?overrideScoreId=score,4.1M,,,http://www.linkedin.com/company/a&k-painting,https://facebook.com/pages/AK-Painting-Company/257140764912,https://twitter.com/AKPaint,,,
Long Painting Company,http://www.longpainting.com,,,Kent,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/54a1206969702d8aa13d4102?overrideScoreId=score,4.4M,,tank linings+57,http://www.linkedin.com/company/long-painting-company,https://facebook.com/longpaintingcompany,https://twitter.com/LongPaintingCo,,,
Coyles Painting,http://www.coylespainting.com,,,Mesa,Arizona,,,,,,apollo,"painting company, painting service - Arizona",https://app.apollo.io/#/organizations/5592306f736964191ec1bd00?overrideScoreId=score,,,,http://www.linkedin.com/company/coyles-painting,,,,,
Vivax Pros,http://www.vivaxpros.com,,,Denver,Colorado,,,,,,apollo,"painting company, painting service - Colorado",https://app.apollo.io/#/organizations/5da448f510ef7e00014d4a1a?overrideScoreId=score,25M,,painting company+57,http://www.linkedin.com/company/vivax-pro-painting,https://facebook.com/vivaxpros,https://twitter.com/Vivax_Pros,,,
Painter Bros,http://www.painterbros.com,,,American Fork,Utah,,,,,,apollo,"painting company, painting service - Utah",https://app.apollo.io/#/organizations/60f648f7c0fda10001b16b6f?overrideScoreId=score,,,interior painting+59,http://www.linkedin.com/company/painter-bros-franchising,,,,,
Zack Painting Company,http://www.zackpainting.com,,,Woodbridge Township,New Jersey,,,,,,apollo,"painting company, painting service - New Jersey",https://app.apollo.io/#/organizations/5500c3da73696460fc534900?overrideScoreId=score,10M,,painting+66,http://www.linkedin.com/company/zack-painting-company,,,,,
Imprūv Painting & Contracting,http://www.impruvpainting.com,,,Columbus,Ohio,,,,,,apollo,"painting company, painting service - Ohio",https://app.apollo.io/#/organizations/63d5725c4b6606000119cffe?overrideScoreId=score,,,residential painting+38,http://www.linkedin.com/company/impr%c5%abv-painting-contracting,,,,,
AG Williams Painting Company,http://www.agwilliamspainting.com,,,,,,,,,,apollo,"painting company, painting service",https://app.apollo.io/#/organizations/54a26f6a74686930c279b422?overrideScoreId=score,30.6M,,interior painting+52,http://www.linkedin.com/company/ag-williams-painting-company,https://facebook.com/agwilliamspainting,,,,
Penington Painting Company,http://www.teamppc.com,,,Chandler,Arizona,,,,,,apollo,"painting company, painting service - Arizona",https://app.apollo.io/#/organizations/66e5e8f4d82df900011d66ba?overrideScoreId=score,13.1M,,,http://www.linkedin.com/company/penington-painting-company,https://facebook.com/peningtonpainting,,,,
Meyer Painting Company,http://www.meyerpaintingco.com,,,Eureka,Missouri,,,,,,apollo,"painting company, painting service - Missouri",https://app.apollo.io/#/organizations/5d09bd3df651259ad0d8fad5?overrideScoreId=score,,,drywall finishing+46,http://www.linkedin.com/company/meyer-painting-company,https://www.facebook.com/MeyerPaintingCompany,,,,
The Ohio Painting Company,http://www.ohiopainting.com,,,Miamisburg,Ohio,,,,,,apollo,"painting company, painting service - Ohio",https://app.apollo.io/#/organizations/56d522f0f3e5bb43e20013e2?overrideScoreId=score,,,,http://www.linkedin.com/company/ohiopainting,https://facebook.com/ohiopaintingco,,,,
Epic Painting Company,http://www.epicpaintingco.com,,,Fairfax,Virginia,,,,,,apollo,"painting company, painting service - Virginia",https://app.apollo.io/#/organizations/6638b731c948a3000163602b?overrideScoreId=score,,,custom signage+32,http://www.linkedin.com/company/epic-painting-company-llc,,,,,
"A Step Above Painting, LLC.",http://www.asapsrq.com,,,Sarasota,Florida,,,,,,apollo,"painting company, painting service - Florida",https://app.apollo.io/#/organizations/5ed33ab4a137530001916c83?overrideScoreId=score,,,family owned+46,http://www.linkedin.com/company/asapsrq,https://www.facebook.com/asapsrq,,,,
Two Dudes Painting Company,http://www.twodudes.com,,,Lancaster,Pennsylvania,,,,,,apollo,"painting company, painting service - Pennsylvania",https://app.apollo.io/#/organizations/54a1392669702de5b3a11500?overrideScoreId=score,42.3M,,epoxy finishes+56,http://www.linkedin.com/company/two-dudes-painting-company,https://www.facebook.com/twodudespaintingcompany,https://twitter.com/twodudespaint,,,
Kennewick Painting Company,http://www.kennewickpainting.com,,,Kennewick,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/61ad51696629d0000157b61a?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/kennewick-painting-company,,,,,
Coeur d'Alene Painting Company,http://www.coeurdalenepainter.com,,,Coeur d'Alene,Idaho,,,,,,apollo,"painting company, painting service - Idaho",https://app.apollo.io/#/organizations/6547d31911b8240001ee5c45?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/coeur-d-alene-painting-company,https://facebook.com/Coeur-dAlene-Painting-Company-101088255659137,,,,
Fargo Painting Company,http://www.fargopaintingpros.com,,,Fargo,North Dakota,,,,,,apollo,"painting company, painting service - North Dakota",https://app.apollo.io/#/organizations/61ad4ea75370c80001e34fb6?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/fargo-painting-company,https://facebook.com/Fargo-Painting-Company-255230783014616,,,,
McCahill Painting Company,http://www.mccahillpainting.com,,,Romeoville,Illinois,,,,,,apollo,"painting company, painting service - Illinois",https://app.apollo.io/#/organizations/54a1399169702d231fbb8000?overrideScoreId=score,5.5M,,industrial painting+64,http://www.linkedin.com/company/mccahill-painting-company,https://www.facebook.com/McCahillPaintingCompany,,,,
Pasco Painting Company,http://www.pascopaintingcompany.com,,,Pasco,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/64604fcef221c900011b82f8?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/pasco-painting-company,,,,,
Valley Painting Company,http://www.chagrinvalleypainting.com,,,Chagrin Falls,Ohio,,,,,,apollo,"painting company, painting service - Ohio",https://app.apollo.io/#/organizations/54a1295d69702dc8410c4c01?overrideScoreId=score,,,,http://www.linkedin.com/company/valley-painting-company,,https://twitter.com/valleypainting,,,
