Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Ritchie Bros.,http://www.ritchiebros.com,,,Westchester,Illinois,,,,,,apollo,"Painting services, painting company - Illinois",https://app.apollo.io/#/organizations/54a23b947468693fda2e3218?overrideScoreId=score,,,auctions+110,http://www.linkedin.com/company/ritchie-bros,,,,,
Standard Drywall Inc.,http://www.standarddrywall.com,,,Corona,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a19e1474686945faba4302?overrideScoreId=score,,,acoustical+123,http://www.linkedin.com/company/standard-drywall-inc.,https://facebook.com/standard-drywall-inc-2224929251061835,,,,
College Works Painting,http://www.collegeworks.com,,,Irvine,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a1341b69702d2db4495e00?overrideScoreId=score,9.5M,,paintingleading+62,http://www.linkedin.com/company/college-works-painting,https://facebook.com/collegeworks,https://twitter.com/College_Works,,,
Vivax Pros,http://www.vivaxpros.com,,,Denver,Colorado,,,,,,apollo,"Painting services, painting company - Colorado",https://app.apollo.io/#/organizations/5da448f510ef7e00014d4a1a?overrideScoreId=score,25M,,painting company+57,http://www.linkedin.com/company/vivax-pro-painting,https://facebook.com/vivaxpros,https://twitter.com/Vivax_Pros,,,
J & J Construction,http://www.jandjconst.net,,,Westminster,Maryland,,,,,,apollo,"Painting services, painting company - Maryland",https://app.apollo.io/#/organizations/5d345b27f65125ec423670ab?overrideScoreId=score,,,construction+59,http://www.linkedin.com/company/j-j-construction,https://www.facebook.com/JJ2000Inc,,,,
Stucco Repair Phoenix,http://www.stuccorepairphoenix.com,,,Phoenix,Arizona,,,,,,apollo,"Painting services, painting company - Arizona",https://app.apollo.io/#/organizations/645e10f1fa1d730001e4008b?overrideScoreId=score,,,,http://www.linkedin.com/company/stucco-repair-phoenix,,,,,
Creek Valley Construction,http://www.creekvalleyconstruction.com,,,Franklin,Tennessee,,,,,,apollo,"Painting services, painting company - Tennessee",https://app.apollo.io/#/organizations/637b79bbd30deb00b9d1d207?overrideScoreId=score,,,carpentry+66,http://www.linkedin.com/company/creekvalleyconstruction,,,,,
painting contractor,http://www.wellspaintservice.com,,,Kiowa,Kansas,,,,,,apollo,"Painting services, painting company - Kansas",https://app.apollo.io/#/organizations/56d978fff3e5bb731d002ade?overrideScoreId=score,,,painting contractor,http://www.linkedin.com/company/painting-contractor,,,,,
Painter Bros,http://www.painterbros.com,,,American Fork,Utah,,,,,,apollo,"Painting services, painting company - Utah",https://app.apollo.io/#/organizations/60f648f7c0fda10001b16b6f?overrideScoreId=score,,,interior painting+59,http://www.linkedin.com/company/painter-bros-franchising,,,,,
Reynolds Construction Company,http://www.reynoldsconstructioncompany.com,,,Pine Bluff,Arkansas,,,,,,apollo,"Painting services, painting company - Arkansas",https://app.apollo.io/#/organizations/5ed179d1d694a4000192322b?overrideScoreId=score,,,commercial roofing+53,http://www.linkedin.com/company/reynolds-construction-company,https://www.facebook.com/ReynoldsConstructionAndCommercialRoofing/,https://twitter.com/reynoldsconstr2,,,
Professional Painting,http://www.professionalpainting.com,,,Redding,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/5c260a2aa3ae6149eb9264d9?overrideScoreId=score,,,exterior painting+47,http://www.linkedin.com/company/professional-paintingredding,https://www.facebook.com/professionalpaintingredding/,https://twitter.com/propaintredding,,,
Painting Contractor USA,http://www.paintingcontractorusa.com,,,Fort Wayne,Indiana,,,,,,apollo,"Painting services, painting company - Indiana",https://app.apollo.io/#/organizations/54a1bb977468695475b1090c?overrideScoreId=score,48.8M,,agricultural painting+58,http://www.linkedin.com/company/painting-contractor-usa,https://facebook.com/PaintingContractorUSA,https://twitter.com/PContractorUSA,,,
Chaparral Company,http://www.chaparralco.com,,,Waco,Texas,,,,,,apollo,"Painting services, painting company - Texas",https://app.apollo.io/#/organizations/5f9966c75503ee008c51b0cf?overrideScoreId=score,33.4M,,piping insulation+49,http://www.linkedin.com/company/chaparral-company,,https://twitter.com/chaparral_is_ps,,,
Pete King Construction,http://www.petekingaz.com,,,Phoenix,Arizona,,,,,,apollo,"Painting services, painting company - Arizona",https://app.apollo.io/#/organizations/5d09707080f93e32feb7662e?overrideScoreId=score,25.6M,,drywall+65,http://www.linkedin.com/company/pete-king-construction,https://www.facebook.com/petekingconstruction/,,,,
ATG Construction Services,http://www.atgweb.com,,,Hillsboro,Oregon,,,,,,apollo,"Painting services, painting company - Oregon",https://app.apollo.io/#/organizations/5500c3b47369641710974600?overrideScoreId=score,10M,,architectural services+79,http://www.linkedin.com/company/advanced-technology-group-inc-,https://www.facebook.com/ATGWebInc/,,,,
Maguire,http://www.maguirewater.com,,,Sioux Falls,South Dakota,,,,,,apollo,"Painting services, painting company - South Dakota",https://app.apollo.io/#/organizations/64585912762c7200012ed2df?overrideScoreId=score,,,water tower experts+54,http://www.linkedin.com/company/maguire-inc,,,,,
HandyPro,http://www.handypro.com,,,Farmington,Michigan,,,,,,apollo,"Painting services, painting company - Michigan",https://app.apollo.io/#/organizations/6065d9a26d288200e2af8a36?overrideScoreId=score,2M,,fully licensed+76,http://www.linkedin.com/company/handypro,https://www.facebook.com/HandyProFans,https://twitter.com/HandyPro,,,
Armstrong Construction,http://www.jarmstrongconstruction.com,,,Covina,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a138a569702d2851ff0000?overrideScoreId=score,26.4M,,,http://www.linkedin.com/company/armstrong-construction,,,,,
Axis Industries,http://www.axisindustries.com,,,La Porte,Texas,,,,,,apollo,"Painting services, painting company - Texas",https://app.apollo.io/#/organizations/6217060000442b0001b15498?overrideScoreId=score,,,scaffolding+63,http://www.linkedin.com/company/axis-industries,,,,,
PCM Services,http://www.pcmservices.com,,,Beltsville,Maryland,,,,,,apollo,"Painting services, painting company - Maryland",https://app.apollo.io/#/organizations/54a12a8669702d9b8be42702?overrideScoreId=score,1.9M,,asphaltconcrete+62,http://www.linkedin.com/company/pcm-services,https://facebook.com/ExceedingClientExpectations,https://twitter.com/PCMServices92,,,
MC Painting,http://www.mc-painting.com,,,Oceanside,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a11be469702d8aa1205d00?overrideScoreId=score,,,painting+52,http://www.linkedin.com/company/mc-painting,,,,,
Stewart Richey Contracting Group,http://www.stewartrichey.com,,,Bowling Green,Kentucky,,,,,,apollo,"Painting services, painting company - Kentucky",https://app.apollo.io/#/organizations/54a19b1e74686954753d2901?overrideScoreId=score,4.9M,,concretepainting+66,http://www.linkedin.com/company/stewart-richey-construction-inc-,https://facebook.com/StewartRichey,https://twitter.com/StewartRichey,,,
