Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
HOLT CAT,http://www.holtcat.com,,,San Antonio,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/54a11b3e69702da753222900?overrideScoreId=score,,,,http://www.linkedin.com/company/holt-cat,https://www.facebook.com/HOLTCAT/,https://twitter.com/HOLT_CAT,,,
Ritchie Bros.,http://www.ritchiebros.com,,,Westchester,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a23b947468693fda2e3218?overrideScoreId=score,,,auctions+141,http://www.linkedin.com/company/ritchie-bros,,,,,
Standard Drywall Inc.,http://www.standarddrywall.com,,,Corona,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a19e1474686945faba4302?overrideScoreId=score,,,acoustical+123,http://www.linkedin.com/company/standard-drywall-inc.,https://facebook.com/standard-drywall-inc-2224929251061835,,,,
College Works Painting,http://www.collegeworks.com,,,Irvine,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a1341b69702d2db4495e00?overrideScoreId=score,9.5M,580,paintingleading+62,http://www.linkedin.com/company/college-works-painting,https://facebook.com/collegeworks,https://twitter.com/College_Works,,,
Vivax Pros,http://www.vivaxpros.com,,,Denver,Colorado,,,,,,apollo,"painting company, painting services - Colorado",https://app.apollo.io/#/organizations/5da448f510ef7e00014d4a1a?overrideScoreId=score,25M,350,painting company+33,http://www.linkedin.com/company/vivax-pro-painting,https://facebook.com/vivaxpros,https://twitter.com/Vivax_Pros,,,
J & J Construction,http://www.jandjconst.net,,,Westminster,Maryland,,,,,,apollo,"painting company, painting services - Maryland",https://app.apollo.io/#/organizations/5d345b27f65125ec423670ab?overrideScoreId=score,,300,construction+59,http://www.linkedin.com/company/j-j-construction,https://www.facebook.com/JJ2000Inc,,,,
Stucco Repair Phoenix,http://www.stuccorepairphoenix.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/645e10f1fa1d730001e4008b?overrideScoreId=score,,200,,http://www.linkedin.com/company/stucco-repair-phoenix,,,,,
Creek Valley Construction,http://www.creekvalleyconstruction.com,,,Franklin,Tennessee,,,,,,apollo,"painting company, painting services - Tennessee",https://app.apollo.io/#/organizations/637b79bbd30deb00b9d1d207?overrideScoreId=score,,200,carpentry+66,http://www.linkedin.com/company/creekvalleyconstruction,,,,,
painting contractor,http://www.wellspaintservice.com,,,Kiowa,Kansas,,,,,,apollo,"painting company, painting services - Kansas",https://app.apollo.io/#/organizations/56d978fff3e5bb731d002ade?overrideScoreId=score,,200,painting contractor,http://www.linkedin.com/company/painting-contractor,,,,,
Painter Bros,http://www.painterbros.com,,,American Fork,Utah,,,,,,apollo,"painting company, painting services - Utah",https://app.apollo.io/#/organizations/60f648f7c0fda10001b16b6f?overrideScoreId=score,,190,interior painting+59,http://www.linkedin.com/company/painter-bros-franchising,,,,,
Reynolds Construction Company,http://www.reynoldsconstructioncompany.com,,,Pine Bluff,Arkansas,,,,,,apollo,"painting company, painting services - Arkansas",https://app.apollo.io/#/organizations/5ed179d1d694a4000192322b?overrideScoreId=score,,180,commercial roofing+53,http://www.linkedin.com/company/reynolds-construction-company,https://www.facebook.com/ReynoldsConstructionAndCommercialRoofing/,https://twitter.com/reynoldsconstr2,,,
Professional Painting,http://www.professionalpainting.com,,,Redding,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/5c260a2aa3ae6149eb9264d9?overrideScoreId=score,,160,exterior painting+47,http://www.linkedin.com/company/professional-paintingredding,https://www.facebook.com/professionalpaintingredding/,https://twitter.com/propaintredding,,,
Painting Contractor USA,http://www.paintingcontractorusa.com,,,Fort Wayne,Indiana,,,,,,apollo,"painting company, painting services - Indiana",https://app.apollo.io/#/organizations/54a1bb977468695475b1090c?overrideScoreId=score,48.8M,160,agricultural painting+58,http://www.linkedin.com/company/painting-contractor-usa,https://facebook.com/PaintingContractorUSA,https://twitter.com/PContractorUSA,,,
Chaparral Company,http://www.chaparralco.com,,,Waco,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/5f9966c75503ee008c51b0cf?overrideScoreId=score,33.4M,150,piping insulation+49,http://www.linkedin.com/company/chaparral-company,,https://twitter.com/chaparral_is_ps,,,
Pete King Construction,http://www.petekingaz.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5d09707080f93e32feb7662e?overrideScoreId=score,25.6M,150,drywall+65,http://www.linkedin.com/company/pete-king-construction,https://www.facebook.com/petekingconstruction/,,,,
Maguire,http://www.maguirewater.com,,,Sioux Falls,South Dakota,,,,,,apollo,"painting company, painting services - South Dakota",https://app.apollo.io/#/organizations/64585912762c7200012ed2df?overrideScoreId=score,,140,water tower experts+54,http://www.linkedin.com/company/maguire-inc,,,,,
HandyPro,http://www.handypro.com,,,Farmington,Michigan,,,,,,apollo,"painting company, painting services - Michigan",https://app.apollo.io/#/organizations/6065d9a26d288200e2af8a36?overrideScoreId=score,2M,140,fully licensed+76,http://www.linkedin.com/company/handypro,https://www.facebook.com/HandyProFans,https://twitter.com/HandyPro,,,
Armstrong Construction,http://www.jarmstrongconstruction.com,,,Covina,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a138a569702d2851ff0000?overrideScoreId=score,26.4M,140,,http://www.linkedin.com/company/armstrong-construction,,,,,
