id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
1702,Servicemaster Clean,http://www.servicemasterpros.com,servicemasterpros.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.607Z,2025-10-08T05:32:42.607Z
1703,Windy City Upholstery,http://windycitymusic.net,windycitymusic.net,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.611Z,2025-10-08T05:32:42.611Z
1704,Waco Manufacturing Inc,http://wacoseating.com,wacoseating.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.611Z,2025-10-08T05:32:42.611Z
1705,Furniture Outlet Inc,http://furnitureoutlet.co,furnitureoutlet.co,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.611Z,2025-10-08T05:32:42.611Z
1706,Chicago Furniture Company,http://www.chicagofurnitureonlinestore.com,chicagofurnitureonlinestore.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.611Z,2025-10-08T05:32:42.611Z
1707,Windy City Hotel Furniture Liquidators,http://windycityliquidator.com/contact-us.html,windycityliquidator.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.660Z
1708,Affordable Seating,https://www.affordableseating.net,affordableseating.net,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1709,Decorium Furniture,http://www.decorium.us,decorium.us,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1710,Furniture Outlet Inc,http://furnitureoutletbedfordpark.com,furnitureoutletbedfordpark.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1711,Arhaus Furniture,https://www.arhaus.com/pages/chicago-il,arhaus.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1712,Front Gate,http://frontgate.com,frontgate.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1713,Lubinski Furniture & Movers,http://www.lubinskimovers.com,lubinskimovers.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1714,Montauk Co,http://montauksofa.com,montauksofa.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.616Z
1715,Famsa,http://www.famsa.com,famsa.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.612Z,2025-10-08T05:32:42.612Z
1716,Forest Reflections,http://forest-reflections.com,forest-reflections.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.613Z,2025-10-08T05:32:42.613Z
1717,Ashley HomeStore,http://www.histylefurnitureco.com,histylefurnitureco.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.613Z,2025-10-08T05:32:42.613Z
1718,Titanic Furniture Inc,https://www.titanicfurniture.com/index.php/about,titanicfurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.613Z,2025-10-08T05:32:42.614Z
1719,Luminaire,http://www.luminaire.com/locations/chicago.html,luminaire.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.613Z,2025-10-08T05:32:42.613Z
1720,Casati Gallary,http://casatigallery.com,casatigallery.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.613Z,2025-10-08T05:32:42.613Z
1721,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1722,Eurofurniture,http://www.eurofurniture.com,eurofurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1723,Chosen Furniture,https://chosenfurniture.com,chosenfurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1724,RH Chicago | The Gallery at the Three Arts Club,https://rh.com/chicago,rh.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1725,Lovesac,http://www.lovesac.com,lovesac.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1726,Bob's Discount Furniture and Mattress Store,https://www.mybobs.com/store/illinois/chi-south-loop?utm_medium=local&utm_source=maps&utm_campaign=Yext&utm_term=illinois&utm_content=chicago,mybobs.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.617Z
1727,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.614Z,2025-10-08T05:32:42.614Z
1728,Plane Spoken Furniture,https://planespoken.com/contact-2,planespoken.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.615Z,2025-10-08T05:32:42.615Z
1729,7 Star Furniture,https://7star-furniture.com,7star-furniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.615Z,2025-10-08T05:32:42.615Z
1730,Joe's Furniture Upholstery,http://joesfurnitureupholstery.com,joesfurnitureupholstery.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.615Z,2025-10-08T05:32:42.615Z
1731,Groupe La Casse,https://www.groupelacasse.com/en/contact-us.html,groupelacasse.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.615Z,2025-10-08T05:32:42.615Z
1732,Design Within Reach,http://www.dwr.com,dwr.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.615Z,2025-10-08T05:32:42.615Z
1733,Chicago Century Furniture Corp,http://chicagocenturyfurniture.com,chicagocenturyfurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1734,Sagus International,http://hmit.net,hmit.net,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1735,Alpha One Studio,http://alphaonestudio.com,alphaonestudio.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.640Z
1736,Veeco Manufacturing,http://www.veecomanufacturing.com,veecomanufacturing.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1737,Walter E. Smithe Furniture & Design,http://www.smithe.com,smithe.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1738,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1739,Cook Brothers Inc,http://www.cookbrothers.com,cookbrothers.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1740,Champagne Furniture Gallery,http://champagnefurniture.com,champagnefurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.616Z,2025-10-08T05:32:42.616Z
1741,Krueger International,http://ki.com,ki.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.617Z
1742,Comfy Furniture,http://micazafurniture.com,micazafurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.634Z
1743,Furniture and Beyond,http://furnitureavechicago.com,furnitureavechicago.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.637Z
1744,Modern Cooperative,http://www.moderncooperative.com,moderncooperative.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.617Z
1745,Z Gallerie,http://www.zgallerie.com,zgallerie.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.617Z
1746,Chatham Furniture & More,https://www.chathamfurniturechicago.com,chathamfurniturechicago.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.617Z,2025-10-08T05:32:42.617Z
1747,Manifesto,https://manifestofurniture.com/contact,manifestofurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.618Z,2025-10-08T05:32:42.618Z
1748,La-Z-Boy Chicago,https://www.la-z-boy.com,la-z-boy.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.618Z,2025-10-08T05:32:42.618Z
1749,Crate & Barrel,https://www.crateandbarrel.com/stores/north-and-clybourn/str115,crateandbarrel.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.618Z,2025-10-08T05:32:42.618Z
1750,CB2,https://www.cb2.com/stores/lincoln-park/str123,cb2.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.618Z,2025-10-08T05:32:42.618Z
1751,Value City Furniture,https://www.valuecityfurniture.com/store-locator/il/chicago/2536-n-elston-ave?utm_source=local%20directories%20website%20clicks&utm_medium=local&utm_campaign=website%20clicks,valuecityfurniture.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1752,Healthy Posture Store,https://www.healthyposturestore.com,healthyposturestore.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1753,Nice And Distressed,https://www.niceanddistressed.com,niceanddistressed.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1754,Mallin Casual Furniture,http://telescopecasual.com,telescopecasual.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.641Z
1755,David Sutherland Showroom,http://www.davidsutherlandshowroom.com,davidsutherlandshowroom.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1756,Lewis Mittman Inc,http://lewismittman.com,lewismittman.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1757,Teknion,https://www.teknion.com/locations/locations-showrooms,teknion.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
1758,Vitra Seating Inc,https://www.vitra.com/es-es/home,vitra.com,furniture,"Chicago, IL",,"[""yellowpages""]",,,2025-10-08T05:32:42.619Z,2025-10-08T05:32:42.619Z
