id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
2463,Kaco Warehouse Outfitters,http://kaco-outfitters.com,kaco-outfitters.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.320Z,2025-10-08T05:35:46.320Z
2464,Mega Furniture Happy Valley,https://megafurnitureusa.com,megafurnitureusa.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.324Z,2025-10-08T05:35:46.349Z
2465,Thomasville Home Furnishings of Tempe,http://www.thomasvilleaz.com,thomasvilleaz.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.325Z,2025-10-08T05:35:46.388Z
2466,Oak Creek Furniture Co,http://www.stonecreekfurniture.com,stonecreekfurniture.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.325Z,2025-10-08T05:35:46.385Z
2467,The Mansion Furniture,http://themansionfurniture.com,themansionfurniture.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.325Z,2025-10-08T05:35:46.325Z
2468,"Sensing Enterprises, Inc",https://www.pruitts.com,pruitts.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.325Z,2025-10-08T05:35:46.329Z
2469,Living Spaces,https://www.livingspaces.com/stores/phoenix,livingspaces.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2470,The Furniture Ranch,http://www.thefurnitureranch.com,thefurnitureranch.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2471,Muebleria Del Sol Distribution,http://www.muebleriadelsol.com,muebleriadelsol.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2472,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2473,Sam's Club,https://www.samsclub.com,samsclub.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2474,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.326Z,2025-10-08T05:35:46.326Z
2475,International Furniture Direct,http://int-furndirect.com,int-furndirect.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
2476,Mega Furniture,http://www.morfurniture.com,morfurniture.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.386Z
2477,Parnian Furniture,http://parnian.com,parnian.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
2478,Paddy O Furniture,https://paddyo.com/pages/showroom-locations,paddyo.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.387Z
2479,Furniture N More,https://www.furniturenmore.net/collections/office-desk-components,furniturenmore.net,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
2480,Del Sol Furniture,http://www.delsolfurniture.com,delsolfurniture.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.333Z
2481,Phoenix Sofa Factory,http://www.phoenixsofafactory.com,phoenixsofafactory.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
2482,Faciliteq,https://www.faciliteq.com,faciliteq.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
2483,American Furniture Warehouse,https://www.afw.com/stores/az/phoenix/?utm_campaign=googlelocal&utm_source=google&utm_medium=local&utm_content=afw-phoenix-az,afw.com,furniture,"Phoenix, AZ",,"[""yellowpages""]",,,2025-10-08T05:35:46.327Z,2025-10-08T05:35:46.327Z
