id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
1,Clover Nail,https://www.clovernailnyc.com,clovernailnyc.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.409Z,2025-10-07T21:44:18.148Z
2,Iris Nails,http://www.irisnail.com,irisnail.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.176Z
3,Bloomie Nails & Spa,http://bloomienails55.com,bloomienails55.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.176Z
4,Valley,http://www.valleynyc.com,valleynyc.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.153Z
5,Pinky's Salon,http://pinkysthisandthat.weebly.com,pinkysthisandthat.weebly.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.154Z
6,Hawaii Nail Salon,http://groupon.com/biz/jersey-city/hawaii-nail-salon,groupon.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.201Z
7,Tenoverten,https://tenoverten.com/pages/contact-us,tenoverten.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.419Z,2025-10-07T21:44:18.186Z
8,Aks Salon,http://www.salonaks.com,salonaks.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.155Z
9,Catalia Beauty & Wellness,https://catalianyc.com,catalianyc.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.155Z
10,maniorpedi.com,https://www.maniorpedi.com,maniorpedi.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.155Z
11,Carlos Lobo Brazilian Salon,https://lobo.salon,lobo.salon,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.155Z
12,Glosslab - Coming Soon,http://glosslab.com,glosslab.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
13,Charlotte Tilbury,https://stores.charlottetilbury.com/en-au/us/ny/new-york/51-w-34th-street-new-york-ny-10001?y_source=1_MTAyOTUwMzM1NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,stores.charlottetilbury.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
14,Bloom Beauty Lounge,http://bloombeautylounge.com,bloombeautylounge.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.155Z
15,Antonio Prieto Salon,https://www.antonioprietosalon.com/?y_source=1_MjAyMTkzODItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,antonioprietosalon.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
16,Beauty Cutie Nail & Spa 3,https://www.beautycutienailspa3.com,beautycutienailspa3.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
17,Silvana Nail Studio,http://www.silvananailstudio.com,silvananailstudio.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
18,Marie Robinson salon,http://marierobinsonsalon.com,marierobinsonsalon.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
19,Almond Nails Studio,http://almond-nails-studio.com,almond-nails-studio.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.420Z,2025-10-07T21:44:18.156Z
20,Pink of Manhattan,http://www.pinkofmanhattan.com,pinkofmanhattan.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.156Z
21,Kure Bazaar Nail and Brow Bar,https://kurebazaar.gettimely.com,kurebazaar.gettimely.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.156Z
22,The Salon Project By Joel Warren,https://thesalonproject.com,thesalonproject.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.156Z
23,PM Jerome Lordet Salon,https://jeromelordetsalon.com,jeromelordetsalon.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.157Z
24,Sommetbeauty,https://www.sommetbeauty.com,sommetbeauty.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.157Z
25,Gilded Ritual - Reade,https://gildedritual.com,gildedritual.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.184Z
26,Ph7,https://www.theph7.com/pages/booking-salon,theph7.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.191Z
27,Rose nails & spa,http://swissnails.com,swissnails.com,nail salons,New York,,"[""yellowpages""]",,,2025-10-07T21:30:35.421Z,2025-10-07T21:44:18.161Z
