id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
3693,Desert Dreams,https://desertdreamsaustin.com/,desertdreamsaustin.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.428Z,2025-10-08T05:39:01.428Z
3694,Havertys Furniture,https://www.havertys.com/furniture/allstores/texas/austin/arbor-trails?cm_mmc=Local-_-Business-_-Listing-_-Citation,havertys.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.429Z,2025-10-08T05:39:01.433Z
3695,Back Home Furniture,https://www.backhomeliving.com,backhomeliving.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.429Z,2025-10-08T05:39:01.429Z
3696,Austin's Furniture Depot,http://www.austinfurnituredepot.com,austinfurnituredepot.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.429Z,2025-10-08T05:39:01.429Z
3697,Phillips Interiors,http://www.phillips-interiors.com,phillips-interiors.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.429Z,2025-10-08T05:39:01.429Z
3698,Nadeau Corporation,http://www.furniturewithasoul.com,furniturewithasoul.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.429Z,2025-10-08T05:39:01.429Z
3699,Five Elements Furniture,https://www.fiveelementsfurniture.com/pages/contact,fiveelementsfurniture.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.430Z
3700,Discount Furniture,http://furnituredude.com,furnituredude.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.430Z
3701,Amish Furniture Of Austin,http://www.amishfurnitureofaustin.com,amishfurnitureofaustin.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.430Z
3702,Zinger Hardware & General Merchant,http://www.pinterest.com/zingerhardware,pinterest.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.430Z
3703,La-Z-Boy Austin,https://www.la-z-boy.com,la-z-boy.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.430Z
3704,Austin Furniture Repair,http://www.austinfurniturerepair.org,austinfurniturerepair.org,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.430Z,2025-10-08T05:39:01.469Z
3705,R & R Discount Furniture,https://www.rrfurniture.com,rrfurniture.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
3706,Ashley HomeStore,http://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
3707,Louis Shanks Furniture,http://www.louisshanksfurniture.com,louisshanksfurniture.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
3708,Arhaus Furniture,https://www.arhaus.com/pages/austin-tx,arhaus.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
3709,Furniture Brokers of Westlake,http://www.furniture-brokers.com,furniture-brokers.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.441Z
3710,John William Interiors,http://jwinteriors.com,jwinteriors.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
3711,Bassett Furniture,https://austin.bassettfurniture.com,austin.bassettfurniture.com,furniture,"Austin, TX",,"[""yellowpages""]",,,2025-10-08T05:39:01.431Z,2025-10-08T05:39:01.431Z
