id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
5247,Jennifer Convertibles,http://jenniferfurniture.com,jenniferfurniture.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.326Z,2025-10-08T05:42:57.326Z
5248,Diseno Boston,https://www.disenoboston.com/contactus,disenoboston.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.332Z,2025-10-08T05:42:57.332Z
5249,Morson Collection,http://www.themorsoncollection.com,themorsoncollection.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.333Z,2025-10-08T05:42:57.333Z
5250,Ligne Roset,http://lignerosetusa.com,lignerosetusa.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.333Z,2025-10-08T05:42:57.333Z
5251,VivaSalotti,https://vivasalotti.com,vivasalotti.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.333Z,2025-10-08T05:42:57.333Z
5252,CB2,https://www.cb2.com/stores/fenway/str67,cb2.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.334Z
5253,RH Boston | The Gallery at the Historic Museum of Natural History,https://rh.com/Boston,rh.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.334Z
5254,Roche Bobois Boston,http://www.roche-bobois.com/en-US/showrooms/boston-downtown,roche-bobois.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.346Z
5255,Joss & Main Corporate Office,https://www.jossandmain.com,jossandmain.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.334Z
5256,Room & Board,https://www.roomandboard.com/stores/boston?Camp=loc_boston,roomandboard.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.334Z
5257,Lovesac,http://www.lovesac.com,lovesac.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.334Z,2025-10-08T05:42:57.334Z
5258,Z Gallerie,http://www.zizigallery.org,zizigallery.org,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.335Z,2025-10-08T05:42:57.335Z
5259,Haworth Inc,http://haworth.com,haworth.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.335Z,2025-10-08T05:42:57.344Z
5260,Hobbs & Warren,http://hobbs-warren.hub.biz,hobbs-warren.hub.biz,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.335Z,2025-10-08T05:42:57.335Z
5261,Furniture Consultants Inc,http://www.fcifurnitureconsultants.com,fcifurnitureconsultants.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.336Z,2025-10-08T05:42:57.336Z
5262,Medalliongallery,http://medalliongallery.com,medalliongallery.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.336Z,2025-10-08T05:42:57.336Z
5263,Thomas Moser Cabinet Makers,http://www.thosmoser.com,thosmoser.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.337Z,2025-10-08T05:42:57.337Z
5264,Showroom Collezione,http://showroomboston.com,showroomboston.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.337Z,2025-10-08T05:42:57.337Z
5265,Norwalk Furniture,http://www.norwalkfurniture.com,norwalkfurniture.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.338Z,2025-10-08T05:42:57.338Z
5266,Integrated Interiors at Work,http://iiawne.com,iiawne.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.338Z,2025-10-08T05:42:57.338Z
5267,Lazzoni Furniture,https://lazzoni.com,lazzoni.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.338Z,2025-10-08T05:42:57.338Z
5268,Value City Furniture,http://valuecityfurniture.com,valuecityfurniture.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.338Z,2025-10-08T05:42:57.338Z
5269,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.338Z,2025-10-08T05:42:57.338Z
5270,M2l Inc,http://m2lcollection.com,m2lcollection.com,furniture,"Boston, MA",,"[""yellowpages""]",,,2025-10-08T05:42:57.339Z,2025-10-08T05:42:57.339Z
