id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
4191,Denver Mattress,https://denvermattress.furniturerow.com/locations/Charlotte/NC/100065?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=YP,denvermattress.furniturerow.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.479Z,2025-10-08T05:40:25.479Z
4192,Furniture Row,https://www.furniturerow.com/locations/Charlotte/NC/100065?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=YP,furniturerow.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.479Z,2025-10-08T05:40:25.479Z
4193,by Design,http://www.siemensdesign.com,siemensdesign.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.479Z,2025-10-08T05:40:25.479Z
4194,Value City Furniture,http://nc.charlotte.valuecityfurniture.com/furniture_store_charlotte_nc_110.html,nc.charlotte.valuecityfurniture.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.479Z,2025-10-08T05:40:25.479Z
4195,Ethan Allen Outlet Center,http://www.ethanallen.com/charlotte,ethanallen.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.479Z,2025-10-08T05:40:25.479Z
4196,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.480Z,2025-10-08T05:40:25.480Z
4197,Rooms To Go Outlet Furniture Store,http://www.roomstogo.com,roomstogo.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.480Z,2025-10-08T05:40:25.509Z
4198,Crate & Barrel,https://www.crateandbarrel.com/stores/southpark-mall/str861,crateandbarrel.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.480Z,2025-10-08T05:40:25.480Z
4199,Trade Winds Furniture,http://tradewindsfurniture.com,tradewindsfurniture.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.480Z,2025-10-08T05:40:25.480Z
4200,House To Home Furnishings LLC,http://www.housetohomefurnishingsllc.com,housetohomefurnishingsllc.com,furniture,"Charlotte, NC",,"[""yellowpages""]",,,2025-10-08T05:40:25.480Z,2025-10-08T05:40:25.480Z
