id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
4100,Ruth Wilson Showroom,https://www.ruthwilsonshowroom.com/,ruthwilsonshowroom.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.445Z,2025-10-08T05:39:54.445Z
4101,Active Glass & Mirror Inc,http://activeglassmirror.com,activeglassmirror.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4102,Rooms For Less,http://www.angieslist.com/companylist/us/oh/columbus/rooms-for-less-reviews-3029231.htm,angieslist.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4103,Haverty's Furniture,https://www.havertys.com/furniture/allstores/ohio/columbus/columbus-polaris?cm_mmc=Local-_-Business-_-Listing-_-Citation,havertys.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4104,Furniture Land,https://furniturelandcolumbus.com,furniturelandcolumbus.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4105,Value City Furniture,http://www.vcf.com,vcf.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4106,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.446Z,2025-10-08T05:39:54.446Z
4107,Roche Bobois,https://www.roche-bobois.com/en-US/showrooms/columbus,roche-bobois.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.447Z
4108,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.447Z
4109,American Freight,http://www.americanfreight.us/stores/columbus-east-furniture-stores?utm_source=Google+Places&utm_medium=Website&utm_campaign=Local+Listings,americanfreight.us,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.459Z
4110,50 Off Outlet,http://frontroomfurnishings.com/locations/fifty-off-outlet,frontroomfurnishings.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.453Z
4111,Cost Plus World Market,http://stores.worldmarket.com/oh/columbus/1331-polaris-parkway.html?y_source=1_mzuymjm2ns01ntktbg9jyxrpb24ud2vic2l0zq%3d%3d,stores.worldmarket.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.458Z
4112,Rooms For Less,http://www.roomsforlessoh.com,roomsforlessoh.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.447Z
4113,West Elm,https://www.westelm.com/stores/us-oh-columbus-easton-town-center,westelm.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.447Z
4114,Sleep Well Columbus llc,http://www.sleepwellcolumbus.com,sleepwellcolumbus.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.447Z
4115,American Signature Value City Furniture,http://americansignaturefurniture.com,americansignaturefurniture.com,furniture,"Columbus, OH",,"[""yellowpages""]",,,2025-10-08T05:39:54.447Z,2025-10-08T05:39:54.459Z
