id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
3310,Canales Furniture,http://www.canalesfurnitureusa.com,canalesfurnitureusa.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.250Z,2025-10-08T05:38:11.250Z
3311,Century Glass & Mirror Inc,http://www.centuryglassdallas.com,centuryglassdallas.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.250Z,2025-10-08T05:38:11.250Z
3312,Glasshouse,http://glasshouseproducts.com,glasshouseproducts.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.250Z,2025-10-08T05:38:11.250Z
3313,Signature Furniture Outlet,https://signaturefurnitureoutlet.com,signaturefurnitureoutlet.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.250Z,2025-10-08T05:38:11.250Z
3314,Sunnyland Patio Furniture,http://www.sunnylandfurniture.com,sunnylandfurniture.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.250Z,2025-10-08T05:38:11.250Z
3315,Weir's Furniture,http://www.weirsfurniture.com,weirsfurniture.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.251Z
3316,Bova Contemporary Furniture Dallas,http://www.bovadallas.com,bovadallas.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.251Z
3317,Kay Bar LP,https://thearrangement.com,thearrangement.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.279Z
3318,Crate & Barrel,https://www.crateandbarrel.com/stores/inwood-outlet-center/str304,crateandbarrel.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.251Z
3319,Cantoni Furniture Outlet,https://www.cantoni.com,cantoni.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.279Z
3320,Designer Furniture 4 Less,http://www.i35furniture.com,i35furniture.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.251Z
3321,David Sutherland Inc,http://davidsutherlandinc.com,davidsutherlandinc.com,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.286Z
3322,Positive Space,https://www.positivespace.life?fbclid=iwar0rilg9e__po4_oz1-kmdphum66yopp5ntvo7kqrnvakzbfnfjab_urmv8,positivespace.life,furniture,"Dallas, TX",,"[""yellowpages""]",,,2025-10-08T05:38:11.251Z,2025-10-08T05:38:11.251Z
