id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
4920,"AAA Propane Sales & Rental, Inc",https://www.aaapropane.com/,aaapropane.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.465Z,2025-10-08T05:42:19.465Z
4921,Lehrer Fireplace & Patio,http://www.lehrerfireplacepatio.com/,lehrerfireplacepatio.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.465Z,2025-10-08T05:42:19.465Z
4922,Denver Mattress,https://denvermattress.furniturerow.com/locations/Denver/CO/100079?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=YP,denvermattress.furniturerow.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.466Z
4923,Furniture Row Dining,http://furniturerow.com,furniturerow.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.471Z
4924,Room & Board,https://www.roomandboard.com/stores/denver?Camp=loc_denver,roomandboard.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.466Z
4925,HW Home Warehouse,https://hwhome.com/AllShops,hwhome.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.471Z
4926,Howard Lorton Furniture & Design,http://www.howardlorton.com,howardlorton.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.468Z
4927,Arhaus,https://www.arhaus.com/pages/denver-co,arhaus.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.466Z,2025-10-08T05:42:19.494Z
4928,La-Z-Boy Furniture Galleries,http://www.la-z-boy.com,la-z-boy.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.510Z
4929,West Elm,https://www.westelm.com/stores/us-co-denver-cherry-creek-north,westelm.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.467Z
4930,Modern Bungalow Furniture and Design,http://modernbungalow.com,modernbungalow.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.495Z
4931,Woodley's Fine Furniture,https://www.woodleys.com,woodleys.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.510Z
4932,Scandinavian Designs Furniture,https://scandinaviandesigns.com,scandinaviandesigns.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.467Z
4933,Crate & Barrel,https://www.crateandbarrel.com/stores/cherry-creek-north/str725,crateandbarrel.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.467Z
4934,Design Within Reach,http://dwr.com,dwr.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.467Z,2025-10-08T05:42:19.467Z
4935,Djuna,http://www.djuna.com,djuna.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.468Z
4936,Rare Finds Warehouse,http://www.rare-finds.com,rare-finds.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.499Z
4937,Amish Furniture Gallery,http://www.unpluggedfurniture.com,unpluggedfurniture.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.468Z
4938,CB2,https://www.cb2.com/stores/cherry-creek-north/str64,cb2.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.468Z
4939,ELEMENT Home | Furnishings & Fine Art,https://www.element-home.com,element-home.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.468Z
4940,Pear Project Services,http://www.pearprojectservices.com,pearprojectservices.com,furniture,"Denver, CO",,"[""yellowpages""]",,,2025-10-08T05:42:19.468Z,2025-10-08T05:42:19.468Z
