id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
5425,Denver Mattress,https://denvermattress.furniturerow.com/locations/El-Paso/TX/100046?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=YP,denvermattress.furniturerow.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.240Z,2025-10-08T05:43:23.240Z
5426,Furniture Row,https://www.furniturerow.com/locations/El-Paso/TX/100046?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=YP,furniturerow.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.245Z,2025-10-08T05:43:23.245Z
5427,National Furniture Liquidators,https://www.nobodybeatshorty.com,nobodybeatshorty.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.246Z,2025-10-08T05:43:23.246Z
5428,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.246Z,2025-10-08T05:43:23.246Z
5429,Market Warehouse Furniture,https://www.marketwarehousefurniture.com,marketwarehousefurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.247Z,2025-10-08T05:43:23.247Z
5430,National Furniture Liquidators Outlet Store,http://www.nflclearancecenter.com,nflclearancecenter.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.247Z,2025-10-08T05:43:23.247Z
5431,Charlotte's,http://www.charlottesfurniture.com,charlottesfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.247Z,2025-10-08T05:43:23.247Z
5432,The Patio,http://www.thepatioelp.com,thepatioelp.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.248Z
5433,Thomasville of El Paso,http://www.thomasville.com,thomasville.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.249Z
5434,Casa Bella Home Furnishing,http://casabellaelpaso.com,casabellaelpaso.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.248Z
5435,Southwestern Furnishings Inc,http://southwesternfurniture.com,southwesternfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.248Z
5436,New Deal Furniture Distribution Center,https://newdealfurniture.com,newdealfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.257Z
5437,Furniture City,http://www.furniturecityelpaso.com/en/contactus,furniturecityelpaso.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.248Z
5438,EP Furniture Guy,http://eptxfurniture.com,eptxfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.248Z,2025-10-08T05:43:23.248Z
5439,"Furniture Marketing Group, Inc. (FMG) - Haworth Dealer",https://fmgi.com/showrooms/elptx/?utm_source=organic&utm_medium=listings,fmgi.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5440,Famsa,https://www.famsafurniture.com,famsafurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5441,Bassett Furniture,https://bassettfurniture.com/stores/s/el-paso-tx,bassettfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5442,Household Furniture,https://www.household-furniture.com/stores/el-paso-texas/54455,household-furniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5443,American Furniture Outlet,https://www.americanfurnitureep.com/pages/contact,americanfurnitureep.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5444,RED DOOR Home Furnishings,http://reddoornow.com,reddoornow.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5445,Katherine Furniture,https://katherinefurniture.com,katherinefurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5446,ASC Furniture Warehouse,https://ascfurniturewarehouse.com,ascfurniturewarehouse.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5447,Household Furniture Co LP,http://www.elpasohouseholdfurniture.com,elpasohouseholdfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.251Z
5448,J V Gallerie,https://www.jvgallerie.com/contact,jvgallerie.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5449,The Furniture Outlet,http://thefurnitureoutletep.com,thefurnitureoutletep.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.249Z,2025-10-08T05:43:23.249Z
5450,Winston Furniture,http://winstonfurniture.com,winstonfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5451,AcceptanceNOW,https://www.acceptancenow.com/RAC-Acceptance-Home.html,acceptancenow.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5452,NBS New & Used Furniture,http://www.nbsinc.com,nbsinc.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5453,Family Thrift Center,http://www.familythrift.com,familythrift.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5454,Tam Furniture Discount,https://www.tamfurniturediscount.com,tamfurniturediscount.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5455,Conn's HomePlus,http://www.conns.com/store-locator/el-paso/el-paso-79903?utm_source=yellowpages&utm_medium=local&utm_campaign=el_paso,conns.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.250Z,2025-10-08T05:43:23.250Z
5456,Copenhagen Imports Inc,http://www.copenhagenliving.com,copenhagenliving.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.251Z,2025-10-08T05:43:23.251Z
5457,Star Antiques,http://starfurniture.com,starfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5458,Buddy's Home Furnishings,http://www.buddyrents.com,buddyrents.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5459,Cost Plus World Market,http://www.worldmarket.com/store-locator/el+paso.do,worldmarket.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5460,JCPenney Salon,https://www.jcpenney.com/locations/tx/elpaso/salon-elpaso-tx-702.html,jcpenney.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5461,CORT Furniture Rental & Clearance Center,https://www.cort.com,cort.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5462,Popular Mattress,http://www.popularmattress.com,popularmattress.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5463,Mattress Firm,http://www.mattressfirmep.com,mattressfirmep.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5464,Sleep Number Store,https://www.sleepnumber.com/stores/tx/el-paso/8889-gateway-blvd-west,sleepnumber.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5465,Indoff Commercial Interiors,https://www.elpasoofficefurniture.com,elpasoofficefurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.273Z
5466,Southwestern Home Products Co,http://www.southwesternhomeproducts.com,southwesternhomeproducts.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.252Z,2025-10-08T05:43:23.252Z
5467,At Home,https://www.athome.com/store/texas-el-paso-west,athome.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5468,Kirkland's,http://www.kirklands.com/custserv/store.jsp?storeName=Cielo%20Vista%20Mall,kirklands.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5469,La-Z-Boy Home Furnishings & Decor,https://www.la-z-boy.com,la-z-boy.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5470,HomeGoods,http://www.homegoods.com,homegoods.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5471,Sun City Glass,https://go.thryv.com/site/bsp4h3qgi8x7k9yg,go.thryv.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5472,Cal TV Furniture,http://caltv-furniture.com,caltv-furniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.253Z,2025-10-08T05:43:23.253Z
5473,Tuesday Morning,https://www.tuesdaymorning.com/stores/tx/el-paso/9521-viscount-blvd.html,tuesdaymorning.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.255Z,2025-10-08T05:43:23.255Z
5474,Mattress Firm,http://mattressfirm.com,mattressfirm.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.256Z,2025-10-08T05:43:23.256Z
5475,Oriental Imports Inc,http://local.yahoo.com/info-26071021-oriental-imports...,local.yahoo.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.256Z,2025-10-08T05:43:23.256Z
5476,El Paso Import Co,http://elpasoimportco.com,elpasoimportco.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.256Z,2025-10-08T05:43:23.256Z
5477,Piano Union Rebuilders,http://hstrial-vbarron1.homestead.com,hstrial-vbarron1.homestead.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.256Z,2025-10-08T05:43:23.256Z
5478,A & A Furniture,http://www.aafurnituremfg.com/contact.html,aafurnituremfg.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.256Z,2025-10-08T05:43:23.256Z
5479,Office Depot,https://www.officedepot.com/storelocator/tx/el-paso/office-depot-498,officedepot.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5480,Goodwill Stores,https://www.goodwillep.org,goodwillep.org,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5481,Business Interiors,http://www.businessinteriors-ep.com,businessinteriors-ep.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5482,Interiors & Draperies-By Adelina,https://www.adelinafrisbieinteriors.com,adelinafrisbieinteriors.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5483,Ecof,http://www.ecofus.com,ecofus.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5484,America's Furniture,http://americasfurniture.net,americasfurniture.net,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5485,Alumi Tec of El Paso,https://www.alumi-tec.com,alumi-tec.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.257Z,2025-10-08T05:43:23.257Z
5486,Herndon Robert F,http://robertfherndon.com,robertfherndon.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.258Z,2025-10-08T05:43:23.258Z
5487,Gallery Furniture & More,http://galleryfurnitureandmore.com,galleryfurnitureandmore.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.258Z,2025-10-08T05:43:23.258Z
5488,International Copy Machine Center,http://www.icmc-elp.com,icmc-elp.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.258Z,2025-10-08T05:43:23.258Z
5489,CORT Furniture Outlet Showroom,https://www.cortfurnitureoutlet.com,cortfurnitureoutlet.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.258Z,2025-10-08T05:43:23.258Z
5490,Goodwill Stores,http://www.goodwill.org,goodwill.org,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.259Z,2025-10-08T05:43:23.259Z
5491,PA CUSTOM FURNITURE,http://www.pacustomfurn.com,pacustomfurn.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.259Z,2025-10-08T05:43:23.259Z
5492,Leggett & Platt,http://leggett.com,leggett.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.259Z,2025-10-08T05:43:23.259Z
5493,Bpsi,http://www.riograndebpsi.com,riograndebpsi.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.260Z,2025-10-08T05:43:23.260Z
5494,Andersen Schoel Office Interiors,http://www.andersenschoel.com,andersenschoel.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.260Z,2025-10-08T05:43:23.260Z
5495,LS Office Furniture,https://www.lsofurniture.com,lsofurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.260Z,2025-10-08T05:43:23.260Z
5496,Shutters by JA Paint Shop,http://www.shuttersbyjapaintshop.com,shuttersbyjapaintshop.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.273Z,2025-10-08T05:43:23.273Z
5497,El Paso Connection,https://www.elpasoconnection.com,elpasoconnection.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.273Z,2025-10-08T05:43:23.273Z
5498,Flash Assemblies,http://fb.me/flashassemblies,fb.me,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.273Z,2025-10-08T05:43:23.273Z
5499,Great Southwest Furniture Inc,http://greatswfurniture.com/Contacting_us.htm,greatswfurniture.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.273Z,2025-10-08T05:43:23.273Z
5500,Pottery Barn,http://potterybarn.com,potterybarn.com,furniture,"El Paso, TX",,"[""yellowpages""]",,,2025-10-08T05:43:23.274Z,2025-10-08T05:43:23.274Z
