id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
3965,House Of Tuscany The,http://houseoftuscany.com,houseoftuscany.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.646Z
3966,RTG Furniture of Texas LP,https://www.roomstogo.com/stores/texas/arlington-furniture-store-2104,roomstogo.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.679Z
3967,La-Z-Boy Arlington,https://www.la-z-boy.com,la-z-boy.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.678Z
3968,Conn's HomePlus,http://conns.com,conns.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.675Z
3969,Berry's Office Furniture Inc,http://www.berryfurniture.net,berryfurniture.net,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.646Z
3970,Tempur-Pedic Flagship Store,https://www.tempurpedic.com/tempur-pedic-stores/tempur-pedic-chapel-hill/?utm_source=ExtNet&utm_medium=Yext&y_source=1_MjUwMjYyNDUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,tempurpedic.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.646Z,2025-10-08T05:39:41.646Z
3971,Hopkins Furniture & Appliance Co,http://www.hopkinsfurniture.com,hopkinsfurniture.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.647Z,2025-10-08T05:39:41.647Z
3972,Cost Plus World Market,http://stores.worldmarket.com/tx/fort-worth/4701-west-freeway.html,stores.worldmarket.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.647Z,2025-10-08T05:39:41.673Z
3973,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.647Z,2025-10-08T05:39:41.647Z
3974,Famsa,http://www.famsafurniture.com,famsafurniture.com,furniture,"Fort Worth, TX",,"[""yellowpages""]",,,2025-10-08T05:39:41.647Z,2025-10-08T05:39:41.647Z
