id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
2051,AAA Contract Furniture,http://www.aaafurnitureusa.com,aaafurnitureusa.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.133Z,2025-10-08T05:34:38.189Z
2052,Modani Furniture Houston,http://www.modani.com,modani.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.138Z,2025-10-08T05:34:38.138Z
2053,Rack 45 by Exclusive Furniture,http://exclusivefurniture.com,exclusivefurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.138Z,2025-10-08T05:34:38.161Z
2054,Best Buy Home Furniture,http://www.paylessfurnituretexas.com,paylessfurnituretexas.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.138Z,2025-10-08T05:34:38.157Z
2055,Bel Furniture Inc,http://www.belfurniture.com,belfurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.138Z,2025-10-08T05:34:38.189Z
2056,Star Furniture - Closed,http://www.starfurniture.com,starfurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.138Z,2025-10-08T05:34:38.190Z
2057,Harwin Furniture,http://www.sarahfurniture.com,sarahfurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.184Z
2058,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.139Z
2059,Castle Fine Furniture,http://www.castlefinefurniture.com,castlefinefurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.139Z
2060,Castle Furniture Design Center,http://www.castlefurniture.com,castlefurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.173Z
2061,Ashley HomeStore Outlet,http://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.189Z
2062,Ava Furniture Houston,http://www.avafurniturehouston.com,avafurniturehouston.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.157Z
2063,La Sierra Home Furniture,http://www.lasierrafurniture.com,lasierrafurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.139Z
2064,Bi-Rite Furniture,https://biritefurniture.com,biritefurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.139Z
2065,G & L Furniture,https://www.gandlfurniture.com,gandlfurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.139Z,2025-10-08T05:34:38.139Z
2066,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2067,El Tapanco Rustic Home,http://www.rustichomeonline.com,rustichomeonline.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2068,BESTBUY Furniture,https://www.bestbuyfurnitureusa.com,bestbuyfurnitureusa.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2069,Southwest Furniture Wholesale,http://www.southwestfurniturewholesale.com,southwestfurniturewholesale.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2070,Vaju Furniture,http://vajufurniture.com,vajufurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2071,Blue Leaf,http://www.blueleafhouston.com,blueleafhouston.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.140Z,2025-10-08T05:34:38.140Z
2072,Updated Furniture,http://poundex.com,poundex.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.141Z,2025-10-08T05:34:38.141Z
2073,International Furniture Direct,http://www.int-furndirect.com,int-furndirect.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.141Z,2025-10-08T05:34:38.141Z
2074,Cubiture - Office Furniture System & Cubicles,https://cubiture.com,cubiture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.141Z,2025-10-08T05:34:38.201Z
2075,Real Patio Living,http://www.realpatioliving.com,realpatioliving.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.141Z,2025-10-08T05:34:38.141Z
2076,Montana's Home Furniture,http://www.montanashomefurniture.com,montanashomefurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.141Z,2025-10-08T05:34:38.141Z
2077,Bassett,https://bassettfurniture.com/stores/s/houston-katy-tx,bassettfurniture.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.147Z,2025-10-08T05:34:38.194Z
2078,Jaguar Tents & Events,http://www.jaguartentsevents.com,jaguartentsevents.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.148Z,2025-10-08T05:34:38.148Z
2079,Northwest Glass & Mirror,http://nw-glass.com,nw-glass.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.148Z,2025-10-08T05:34:38.148Z
2080,M C Glass Company,http://www.mcglasscompany.com,mcglasscompany.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.148Z,2025-10-08T05:34:38.148Z
2081,Ideal Home Furniture,https://ideal-home-furniture.slue.io,ideal-home-furniture.slue.io,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.149Z,2025-10-08T05:34:38.149Z
2082,Sunset Settings Inc,http://www.sunsetsettings.com,sunsetsettings.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.150Z,2025-10-08T05:34:38.150Z
2083,Affordable@290,https://www.affordablefurniturehouston.com,affordablefurniturehouston.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.150Z,2025-10-08T05:34:38.172Z
2084,Southwestern Furniture Co,http://swfurnitureonline.com,swfurnitureonline.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.150Z,2025-10-08T05:34:38.188Z
2085,Low Price Furniture,http://modernfurniturehouston.com,modernfurniturehouston.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.151Z,2025-10-08T05:34:38.163Z
2086,The Accessory Place,http://theaccessoryplace.com,theaccessoryplace.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.151Z,2025-10-08T05:34:38.151Z
2087,Arhaus,https://www.arhaus.com/pages/houston-tx,arhaus.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.151Z,2025-10-08T05:34:38.192Z
2088,Noel Furniture,https://www.noelhome.com,noelhome.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.152Z,2025-10-08T05:34:38.152Z
2089,West Elm,http://www.westelm.com/stores/us/tx/houston-highland-village,westelm.com,furniture,"Houston, TX",,"[""yellowpages""]",,,2025-10-08T05:34:38.152Z,2025-10-08T05:34:38.152Z
