id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
4559,"New Whiteland Self Storage, LLC",http://www.newwhitelandselfstorage.com/,newwhitelandselfstorage.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.277Z,2025-10-08T05:41:17.277Z
4560,Indy Electrostatic Painting Inc,https://indyelectrostaticpainting.com,indyelectrostaticpainting.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.277Z,2025-10-08T05:41:17.277Z
4561,Commercial Office Environments,http://www.coeindy.com,coeindy.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.278Z,2025-10-08T05:41:17.278Z
4562,Furniture For Less,http://www.indyfurnitureforless.com,indyfurnitureforless.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.278Z,2025-10-08T05:41:17.278Z
4563,Factory Furniture Direct,http://www.myamericanfactoryfurniture.com,myamericanfactoryfurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.278Z,2025-10-08T05:41:17.278Z
4564,L Fish Furniture,http://www.lfish.com,lfish.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.279Z,2025-10-08T05:41:17.279Z
4565,Kittle's Rooms Express,http://www.kittles.com/storelocations.inc,kittles.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.279Z,2025-10-08T05:41:17.318Z
4566,Haverty's Furniture,https://www.havertys.com/furniture/allstores/indiana/indianapolis?cm_mmc=Local-_-Business-_-Listing-_-Citation,havertys.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.279Z,2025-10-08T05:41:17.279Z
4567,Value City Furniture,http://in.indianapolis.valuecityfurniture.com/furniture_store_indianapolis_in_86.html,in.indianapolis.valuecityfurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.279Z,2025-10-08T05:41:17.279Z
4568,Ashley HomeStore,http://www.ashleyfurniture.com,ashleyfurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.279Z,2025-10-08T05:41:17.279Z
4569,La-Z-Boy Furniture Galleries,http://www.lazboy.com,lazboy.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4570,Homeplex Furniture,http://www.homeplexfurniture.com,homeplexfurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4571,The RoomPlace,https://www.theroomplace.com/location/indianapolis,theroomplace.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.295Z
4572,Arhaus Furniture,https://www.arhaus.com/pages/indianapolis-in,arhaus.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4573,Home Furniture,http://homefurnitureindiana.com/yelp.com/biz/home-furniture-indianapolis,homefurnitureindiana.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4574,Inspirations Contemporary Furniture,http://inspirationinteriors.com,inspirationinteriors.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4575,Rabb & Howe Cabinet Top Co,http://www.rabbhowecabinetry.com,rabbhowecabinetry.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4576,Modern Glass,http://www.modernglassindy.com,modernglassindy.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4577,Audrey's Place,http://www.audreysplacefurniture.com,audreysplacefurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.280Z
4578,Furniture Discounters Inc,https://www.myfurniturediscounters.com/index.html,myfurniturediscounters.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.299Z
4579,Direct Plus,https://www.directplusfurniture.com,directplusfurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.280Z,2025-10-08T05:41:17.297Z
4580,Forever Furniture & Mattresses,https://www.foreverfurnitureusa.com,foreverfurnitureusa.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4581,easyhome Furnishings,http://www.easyhome.us,easyhome.us,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4582,Bob's Discount Furniture,https://www.mybobs.com,mybobs.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.318Z
4583,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4584,University Loft Co,https://www.uloft.com,uloft.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4585,Ashley HomeStore,http://www.silverinthecity.com,silverinthecity.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4586,Especially Wicker,http://www.especiallywicker.com,especiallywicker.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4587,Mega Furniture & Rugs Outlet,https://megafurnitureandrugs.com,megafurnitureandrugs.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4588,Allen Vs Stader Sale's,http://lowes.com,lowes.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4589,Sweet Deals Indy,http://www.sweetdealsindy.com,sweetdealsindy.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.311Z
4590,American Signature Furniture,http://www.americansignaturefurniture.com,americansignaturefurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4591,Eva Furniture,http://evafurniture.com,evafurniture.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4592,Art Van Furniture,http://artvan.com,artvan.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.281Z
4593,Indy Furniture Rentals & Clearance Center,http://www.ifurnishings.net,ifurnishings.net,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.311Z
4594,La-Z-Boy Home Furnishings & Decor,https://www.la-z-boy.com,la-z-boy.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.281Z,2025-10-08T05:41:17.292Z
4595,Crate & Barrel,https://www.crateandbarrel.com/stores/the-fashion-mall-at-keystone/str133,crateandbarrel.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.292Z,2025-10-08T05:41:17.292Z
4596,RH Indianapolis | The Gallery at The DeHaan Estate,https://rh.com/us/en/indianapolis,rh.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.293Z,2025-10-08T05:41:17.308Z
4597,Weekends Only Furniture & Mattress â?? Greenwood,https://www.weekendsonly.com/greenwood,weekendsonly.com,furniture,"Indianapolis, IN",,"[""yellowpages""]",,,2025-10-08T05:41:17.293Z,2025-10-08T05:41:17.294Z
