id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
1264,Wallbeds N More San Diego,https://sdmurphybeds.com/,sdmurphybeds.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.841Z,2025-10-08T05:31:46.841Z
1265,Menzie International,https://menzie.net/,menzie.net,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.846Z,2025-10-08T05:31:46.846Z
1266,Furniture,https://cbsfurnituremfg.com,cbsfurnituremfg.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.846Z,2025-10-08T05:31:46.846Z
1267,Tony's Glass & Mirror,https://www.tonysglass.net,tonysglass.net,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1268,EuroLux Furniture Inc.,http://www.euroluxfurniture.com,euroluxfurniture.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1269,Landon Cole Furniture,http://www.landoncole.com,landoncole.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1270,"Blueprint, Inc.",http://blueprintfurniture.wordpress.com,blueprintfurniture.wordpress.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1271,Living Spaces,http://www.livingspaces.com,livingspaces.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1272,Rapport International Furniture,http://www.rapportusa.com,rapportusa.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1273,La Bella Cosa,http://www.labellacosa.com,labellacosa.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1274,In Mode,http://www.inmodehome.com,inmodehome.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.847Z
1275,Berry Furniture & Appliance Inc,http://wengerfurniture.com,wengerfurniture.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.847Z,2025-10-08T05:31:46.890Z
1276,Italy 2000,http://italy2000usa.com,italy2000usa.com,furniture,"Los Angeles, CA",,"[""yellowpages""]",,,2025-10-08T05:31:46.848Z,2025-10-08T05:31:46.848Z
