id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
5504,Madison Glass Co,https://www.madisonglasscompany.com/,madisonglasscompany.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.476Z,2025-10-08T05:43:41.476Z
5505,Lynn's Patio Shop,https://lynnspatioshop.com/,lynnspatioshop.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.486Z,2025-10-08T05:43:41.486Z
5506,Mid State Door & Window Co,http://www.midstatedoorandwindow.com,midstatedoorandwindow.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.486Z,2025-10-08T05:43:41.486Z
5507,Facility Installation Services,http://www.fisnashville.com,fisnashville.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.487Z,2025-10-08T05:43:41.487Z
5508,Remix Furniture,http://www.remixfurniturestore.com,remixfurniturestore.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.487Z,2025-10-08T05:43:41.487Z
5509,Recreations Furniture,http://www.recreationsfurniture.com,recreationsfurniture.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.487Z,2025-10-08T05:43:41.487Z
5510,Two Danes,http://www.2danes.com,2danes.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.487Z,2025-10-08T05:43:41.487Z
5511,Sprintz Rug Gallery,http://www.sprintz.com,sprintz.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.487Z,2025-10-08T05:43:41.500Z
5512,Margi's Chair & Chair Alike,http://margischair.com,margischair.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.488Z,2025-10-08T05:43:41.488Z
5513,Restoration Hardware,http://restorationhardware.com,restorationhardware.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.489Z,2025-10-08T05:43:41.489Z
5514,West Elm,https://www.westelm.com/stores/us-tn-nashville-hill-center,westelm.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.489Z,2025-10-08T05:43:41.489Z
5515,Bliss Home,http://shopinbliss.com,shopinbliss.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.490Z,2025-10-08T05:43:41.490Z
5516,Oak Nashville,http://oaknashville.com,oaknashville.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.490Z,2025-10-08T05:43:41.490Z
5517,Crate & Barrel,https://www.crateandbarrel.com/stores/green-hills/str763,crateandbarrel.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.490Z,2025-10-08T05:43:41.490Z
5518,Margi's Furniture & Design,https://www.furniturestoreinnashville.com,furniturestoreinnashville.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.491Z,2025-10-08T05:43:41.491Z
5519,Vandyke,https://vandyke.hotelsinashville.com/it,vandyke.hotelsinashville.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.491Z,2025-10-08T05:43:41.491Z
5520,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.492Z,2025-10-08T05:43:41.492Z
5521,RH Nashville | The Gallery at Green Hills,https://rh.com/Nashville,rh.com,furniture,"Nashville, TN",,"[""yellowpages""]",,,2025-10-08T05:43:41.492Z,2025-10-08T05:43:41.492Z
