id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
725,Furniture,http://www.furniturejoint.com,furniturejoint.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.893Z,2025-10-08T05:30:29.893Z
726,Bob's Discount Furniture,http://www.mybobs.com,mybobs.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.906Z,2025-10-08T05:30:29.906Z
727,Economy FOAM & Futons Center,http://www.nycfoam.com,nycfoam.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.910Z,2025-10-08T05:30:29.910Z
728,The Red Threads,http://www.theredthreads.com,theredthreads.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.910Z,2025-10-08T05:30:29.910Z
729,Andrianna Shamaris Inc.,http://andriannashamarisinc.com,andriannashamarisinc.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.912Z,2025-10-08T05:30:29.912Z
730,Tempur-Pedic Flagship Store,https://www.tempurpedic.com/tempur-pedic-stores/tempur-pedic-manhattan/?utm_source=ExtNet&utm_medium=Yext&y_source=1_MjUwMjYyOTQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,tempurpedic.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.914Z,2025-10-08T05:30:29.914Z
731,Window Treatments By Horizon,http://horizonyc.com,horizonyc.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.915Z,2025-10-08T05:30:29.993Z
732,Canal Furniture,http://www.nyfurniture.biz,nyfurniture.biz,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.916Z,2025-10-08T05:30:29.916Z
733,Innovant,https://www.innovant.com/privacy,innovant.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.918Z,2025-10-08T05:30:29.918Z
734,Bedroom Furniture Discounts Inc,http://bedroomfurniturediscounts.com,bedroomfurniturediscounts.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.920Z,2025-10-08T05:30:29.973Z
735,Walters Wicker Inc,http://www.walterswicker.com,walterswicker.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.920Z,2025-10-08T05:30:29.920Z
736,Morgik Metal Design Inc,http://morgik.com,morgik.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.921Z,2025-10-08T05:30:29.921Z
737,Eurotrend Furniture,http://www.eurotrendusa.com,eurotrendusa.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.922Z,2025-10-08T05:30:29.922Z
738,Thomasville,http://www.thomasville.com,thomasville.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.924Z,2025-10-08T05:30:29.924Z
739,Raymour & Flanigan Furniture and Mattress Showroom & Outlet,https://www.raymourflanigan.com/locations/NY/union-square,raymourflanigan.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.925Z,2025-10-08T05:30:29.949Z
740,Holly Hunt New York,https://www.hollyhunt.com/locations/holly-hunt-new-york-ad,hollyhunt.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.925Z,2025-10-08T05:30:29.925Z
741,Seminole Furniture Shop,http://www.seminolefurniture.com/contact-duplicate,seminolefurniture.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.926Z,2025-10-08T05:30:29.926Z
742,Cassina USA Inc,http://www.cassina.com/en,cassina.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.927Z,2025-10-08T05:30:29.927Z
743,Plaza Furniture,http://www.pfonline.com,pfonline.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.929Z,2025-10-08T05:30:29.929Z
744,Ashley HomeStore,http://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.931Z,2025-10-08T05:30:29.931Z
745,Arkitektura,https://arkitektura.com,arkitektura.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.931Z,2025-10-08T05:30:29.931Z
746,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.932Z,2025-10-08T05:30:29.932Z
747,Apropos Furniture Showroom,https://www.apropos-furniture.com,apropos-furniture.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.932Z,2025-10-08T05:30:29.932Z
748,Furniture Consultants,https://www.e-fci.com/contact-10,e-fci.com,furniture,"New York, NY",,"[""yellowpages""]",,,2025-10-08T05:30:29.932Z,2025-10-08T05:30:29.932Z
