id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
5738,Allied Glass Inc,https://www.alliedglassokc.com/,alliedglassokc.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.938Z,2025-10-08T05:44:25.938Z
5739,Mathis Brothers Furniture,http://www.mathisbrothers.com/?utm_source=yp&amp;amp;utm_medium=listing&amp;amp;utm_campaign=51,mathisbrothers.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.942Z,2025-10-08T05:44:25.942Z
5740,Haggard's Fine Furniture,http://www.haggardsfinefurniture.com,haggardsfinefurniture.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.942Z,2025-10-08T05:44:25.942Z
5741,Furniture Gallery USA,http://www.furnituregalleryusaok.com,furnituregalleryusaok.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5742,Furniture Buy Consignment,http://furniturebuyconsignment.com,furniturebuyconsignment.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5743,Discoveries,http://www.discoveriesfurniture.com,discoveriesfurniture.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.987Z
5744,Capps Furniture & Appliances,http://oklahomacity.craigslist.org,oklahomacity.craigslist.org,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5745,Galleria Furniture,http://www.galleriafurn.com,galleriafurn.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5746,Furniture Direct,https://furnituredirecthhi.com,furnituredirecthhi.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5747,Jude N Jody & Sons Factory Direct Furniture & Bedding,http://www.judeandjodyfurniture.com,judeandjodyfurniture.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5748,Santa Fe Company,http://santafecompany.com,santafecompany.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5749,Oklahoma Futon Company,https://www.kidzonefurniture.com/locations/NPORTLAND.html,kidzonefurniture.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.985Z
5750,Central Glass & Mirror,http://www.centralglass.com,centralglass.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5751,BedMart,http://www.bedmartmattresssuperstores.com,bedmartmattresssuperstores.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5752,Scissortail Marketplace,https://www.scissortailmarketplace.com,scissortailmarketplace.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.943Z,2025-10-08T05:44:25.943Z
5753,Suburban Contemporary Furniture,http://www.suburbancontemporary.com,suburbancontemporary.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5754,Home Outlet Furniture,http://www.homeoutletfurniture.com,homeoutletfurniture.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5755,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5756,Reno Furniture,http://renofurnitureokc.com,renofurnitureokc.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5757,Wurth Louis and Company,http://louisandcompany.com,louisandcompany.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5758,Good to Go,http://wsdot.wa.gov/goodtogo,wsdot.wa.gov,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.944Z,2025-10-08T05:44:25.944Z
5759,Atahli,https://www.atahli.net,atahli.net,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.946Z,2025-10-08T05:44:25.946Z
5760,Cheap Sleep Furniture And Mattress,https://www.cheapsleep.net/pages/contact,cheapsleep.net,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.946Z,2025-10-08T05:44:25.946Z
5761,Couch + Co,https://shopcouchandco.com,shopcouchandco.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.947Z,2025-10-08T05:44:25.947Z
5762,Norwalk Furniture,http://norwalkfurnitureokc.com,norwalkfurnitureokc.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.948Z,2025-10-08T05:44:25.948Z
5763,The Mattress Place,https://themattressplace-ok.com,themattressplace-ok.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.948Z,2025-10-08T05:44:25.948Z
5764,La-Z-Boy Comfort Studio,https://www.la-z-boy.com,la-z-boy.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.948Z,2025-10-08T05:44:25.983Z
5765,Antique Avenue Market,http://antiqueavenuemarket.com,antiqueavenuemarket.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.949Z,2025-10-08T05:44:25.949Z
5766,Conn's,http://www.conns.com/store-locator/oklahoma/oklahoma-city-73159,conns.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.949Z,2025-10-08T05:44:25.988Z
5767,LOREC Ranch Home Furnishings,https://lorec-ranch.myshopify.com,lorec-ranch.myshopify.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.949Z,2025-10-08T05:44:25.949Z
5768,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.950Z,2025-10-08T05:44:25.950Z
5769,RH Oklahoma City | The Gallery at Oak,https://rh.com/us/en/oklahomacity,rh.com,furniture,"Oklahoma City, OK",,"[""yellowpages""]",,,2025-10-08T05:44:25.950Z,2025-10-08T05:44:25.950Z
