id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
2774,Jerusalem Furniture,http://jerusalemfurniturepa.com,jerusalemfurniturepa.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.929Z,2025-10-08T05:36:32.929Z
2775,Norman's,http://normansjuvenilefurniture.com,normansjuvenilefurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.934Z
2776,M London Furniture Inc,http://www.mlondonfurniture.com,mlondonfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.934Z
2777,Diamond Furnitures,http://diamondfurniture.com,diamondfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.935Z
2778,Raymour & Flanigan Furniture,https://www.raymourflanigan.com/locations/red-lion-outlet,raymourflanigan.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.966Z
2779,McGill's Fine Furniture & Interiors,https://mcgillsfurniture.com,mcgillsfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.934Z
2780,American Furniture,https://www.americanfurnituredesign.net,americanfurnituredesign.net,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.949Z
2781,Minima,http://www.minima.us/contact-us,minima.us,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.934Z
2782,Philadelphia Furniture Workshop,http://www.philadelphiafurnitureworkshop.com,philadelphiafurnitureworkshop.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.934Z
2783,Direct Buy Furniture Inc,http://www.direct-buyfurniture.com,direct-buyfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.934Z,2025-10-08T05:36:32.947Z
2784,Urbia Imports,http://www.dwellinghome.com,dwellinghome.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.935Z,2025-10-08T05:36:32.975Z
2785,Signature Furniture Inc,http://signaturefurnitureinc.com,signaturefurnitureinc.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.935Z,2025-10-08T05:36:32.935Z
2786,Darby Furniture,http://www.myfurnituremecca.com,myfurnituremecca.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.935Z,2025-10-08T05:36:32.975Z
2787,USA Empire Furniture,http://usaempirefurniture.com,usaempirefurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2788,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2789,South Jersey Discount Furniture,https://www.brothersfinefurniture.com,brothersfinefurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.937Z
2790,Modern Expression,http://www.uhaul.com/Locations/Truck-Rentals-near-Philadelphia-PA-19116/053238,uhaul.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2791,CB2 Rittenhouse Square,https://www.cb2.com/stores/rittenhouse/str54,cb2.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.938Z
2792,Morrys Dinettes and Barstools,http://www.morrysdinette.com,morrysdinette.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2793,Lovesac,http://www.lovesac.com,lovesac.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2794,Classic Antiques,http://classicantiquesphl.com,classicantiquesphl.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2795,RareCo Vintage,http://rarecovintage.com,rarecovintage.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.936Z,2025-10-08T05:36:32.936Z
2796,Boss Furniture,http://mybossfurniture.com,mybossfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.937Z,2025-10-08T05:36:32.937Z
2797,Doyle Design Inc,http://doyledesign.biz,doyledesign.biz,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.937Z,2025-10-08T05:36:32.937Z
2798,Jacob Holtz Co,http://jacobholtz.com,jacobholtz.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.937Z,2025-10-08T05:36:32.937Z
2799,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.937Z,2025-10-08T05:36:32.937Z
2800,Baker Knapp & Tubbs,http://bakerfurniture.com,bakerfurniture.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.937Z,2025-10-08T05:36:32.937Z
2801,Global Furniture Group,https://www.globalfurnituregroup.com,globalfurnituregroup.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2802,A K & Co,https://www.akcoshowroom.com,akcoshowroom.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2803,Expert Furniture Assembly,http://www.expertfurnitureassembly.com,expertfurnitureassembly.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2804,Baer Collection,http://altamsi.com,altamsi.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2805,Furniture Tip Over Accidents,http://www.furniture-tip-over-accidents.com,furniture-tip-over-accidents.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2806,Hello World,http://shophelloworld.com,shophelloworld.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.938Z,2025-10-08T05:36:32.938Z
2807,Bilt-Well Furniture Showroom,https://biltwellshowroom.com/contact,biltwellshowroom.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2808,Menagerie Limited,http://www.menagerieltd.com,menagerieltd.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2809,Richie D's Furniture,http://www.furnishingnetwork.com/RichieDsDiscountFurnitue,furnishingnetwork.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2810,Minima Inc CC,https://www.minima.co.uk,minima.co.uk,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2811,Carl's,https://carlsfarmeggs.com/Turkey.htm,carlsfarmeggs.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2812,Cella,https://cellainc.com,cellainc.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2813,Natuzzi Italia,http://philadelphia.natuzzi.us,philadelphia.natuzzi.us,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.939Z,2025-10-08T05:36:32.939Z
2814,Millesime,http://millesime.us,millesime.us,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.940Z,2025-10-08T05:36:32.940Z
2815,Flotsam & Jetsam,http://flotjet.com,flotjet.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.940Z,2025-10-08T05:36:32.940Z
2816,Home Gallery Furniture,http://homegalleryfurnishings.com,homegalleryfurnishings.com,furniture,"Philadelphia, PA",,"[""yellowpages""]",,,2025-10-08T05:36:32.940Z,2025-10-08T05:36:32.963Z
