id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
2981,Furniture,http://cassona.net,cassona.net,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.621Z,2025-10-08T05:37:00.621Z
2982,Star Furniture,http://www.starfurniture.com/starsanantonio.inc,starfurniture.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.621Z,2025-10-08T05:37:00.621Z
2983,Rooms to Go Furniture,http://www.roomstogo.com,roomstogo.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.622Z,2025-10-08T05:37:00.642Z
2984,Furniture Row - San Antonio,http://www.furniturerow.com,furniturerow.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.622Z,2025-10-08T05:37:00.643Z
2985,La-Z-Boy Furniture Galleries,http://www.la-z-boy.com,la-z-boy.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.643Z
2986,Closet Connoisseur Resale Furniture/Fashion,http://www.closetconnoisseurresale.com,closetconnoisseurresale.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.623Z
2987,Hill Country Interiors,http://hillcountryinteriors.com,hillcountryinteriors.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.623Z
2988,Conn's HomePlus,http://www.conns.com/store-locator/san-antonio/san-antonio-78229?utm_source=yellowpages&utm_medium=local&utm_campaign=san_antonio,conns.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.623Z
2989,Tempur-Pedic Flagship Store,https://www.tempurpedic.com/tempur-pedic-stores/tempur-pedic-san-antonio/?utm_source=ExtNet&utm_medium=Yext&y_source=1_MjUwMjYyMjItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,tempurpedic.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.623Z
2990,Factory Mattress,http://www.factorymattresstexas.com,factorymattresstexas.com,furniture,"San Antonio, TX",,"[""yellowpages""]",,,2025-10-08T05:37:00.623Z,2025-10-08T05:37:00.623Z
