id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
4343,Theisen/Quality Glass & Mirror,https://www.theisenglass.com,theisenglass.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:50.998Z,2025-10-08T05:40:50.998Z
4344,A To Z Royal Medical Supply,https://atozroyalmedicalsupply.com,atozroyalmedicalsupply.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.001Z,2025-10-08T05:40:51.001Z
4345,Sofa Creations,http://mysofacreation.com,mysofacreation.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.002Z,2025-10-08T05:40:51.002Z
4346,Room & Board,https://www.roomandboard.com/stores/san-francisco?Camp=loc_sanfran,roomandboard.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.002Z,2025-10-08T05:40:51.002Z
4347,Arkitektura SF,https://www.arksf.com/locations,arksf.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.002Z,2025-10-08T05:40:51.042Z
4348,Jennifer Convertibles,http://www.jennifersofabed.com,jennifersofabed.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.003Z,2025-10-08T05:40:51.003Z
4349,Linge Roset,http://www.lignerosetsf.com,lignerosetsf.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.003Z,2025-10-08T05:40:51.003Z
4350,Sofa Ulovecustomcollection,http://www.sofaulove.com,sofaulove.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.003Z,2025-10-08T05:40:51.003Z
4351,Thomasville,http://www.mcguirefurniture.com,mcguirefurniture.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.003Z,2025-10-08T05:40:51.011Z
4352,Sebastian Parker Furniture Design,https://www.sebastianparker.com/about,sebastianparker.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.003Z,2025-10-08T05:40:51.003Z
4353,Dzine,https://dzineliving.com,dzineliving.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.008Z,2025-10-08T05:40:51.008Z
4354,Furnillion,http://www.furnillion.com,furnillion.com,furniture,"San Francisco, CA",,"[""yellowpages""]",,,2025-10-08T05:40:51.008Z,2025-10-08T05:40:51.008Z
