id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
3540,Upholstery Specialists,http://www.upholsteryspecialists.net,upholsteryspecialists.net,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.588Z,2025-10-08T05:38:36.588Z
3541,American Leisure,http://americanleisurepatio.com,americanleisurepatio.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.589Z,2025-10-08T05:38:36.589Z
3542,Living Spaces,https://www.livingspaces.com/stores/san-jose,livingspaces.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.589Z,2025-10-08T05:38:36.589Z
3543,Ramos Furniture Sj Lenfest,http://ramosfurniture.com,ramosfurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.589Z,2025-10-08T05:38:36.591Z
3544,Studley & Associates,https://studleysassc.com/about,studleysassc.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.589Z,2025-10-08T05:38:36.589Z
3545,San Jose Furniture Warehouse,https://www.sanjosewarehousefurniture.com,sanjosewarehousefurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.589Z,2025-10-08T05:38:36.589Z
3546,Milano Home Furnishings Westfield Mall,http://milanohomefurniture.com,milanohomefurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3547,Premier Door Services Inc,http://www.premierdoorservices.biz,premierdoorservices.biz,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3548,Bassett Furniture,https://bassettfurniture.com/stores/s/san-jose-ca,bassettfurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3549,Kiddie World Center Inc,http://kiddieworldcenter.com,kiddieworldcenter.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3550,Sure U Save Furniture,http://catalog.findyourfurniture.com/AHFA_Retailer~5322_Sure_U_Save_Furniture.aspx,catalog.findyourfurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3551,All World Furniture,http://www.allworldfurniture.com,allworldfurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3552,Crate & Barrel,https://www.crateandbarrel.com/stores/santana-row/str404,crateandbarrel.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3553,CB2,https://www.cb2.com/stores/cb2-at-santana-row/str77,cb2.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.590Z,2025-10-08T05:38:36.590Z
3554,La-Z-Boy Furniture Galleries,http://www.la-z-boy.com/Bay-Area/Blossom-Hill-Road,la-z-boy.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.593Z
3555,Contempo Furniture,https://contempofurnitures.com,contempofurnitures.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3556,Boconcept,https://www.boconcept.com/en-us/stores/find-your-local-store/usa/california/boconcept-san-jose,boconcept.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3557,Ashley HomeStore,https://www.ashleyfurniturehomestore.com,ashleyfurniturehomestore.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3558,Lovesac,http://www.lovesac.com,lovesac.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3559,Scandinavian Designs Furniture,https://scandinaviandesigns.com,scandinaviandesigns.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3560,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3561,Pacific States Industries,http://www.redwoodemp.com/company.htm,redwoodemp.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3562,Studio By Terra Amico,http://terraamico.com,terraamico.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.591Z,2025-10-08T05:38:36.591Z
3563,Crown Furniture,http://crownfurniture.org,crownfurniture.org,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3564,Corporate Furniture Solutions,http://corporate-furniture.com,corporate-furniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3565,TWCSJ Inc,https://thewoodconnection-sj.com/contact,thewoodconnection-sj.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3566,Z Gallerie,http://www.zgallerie.com,zgallerie.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3567,Direct2u Furniture Inc,http://klaseefurniture.com,klaseefurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.596Z
3568,Homebody,https://stayhomebody.com,stayhomebody.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3569,San Jose Furniture City Corporation,http://sanjosefurniturecity.com/index.php/contacts,sanjosefurniturecity.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3570,Interior Furnitures Home,https://www.myhomeinteriorsfurniture.com/contact,myhomeinteriorsfurniture.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3571,Lolitas Furniture,https://www.lolitasfurnitures.com,lolitasfurnitures.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3572,Thomasville,http://www.thomasville.com,thomasville.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.592Z,2025-10-08T05:38:36.592Z
3573,Fredco International-Modern Furniture Retailer,https://www.thefredco.com,thefredco.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.593Z,2025-10-08T05:38:36.593Z
3574,Interior Concepts,https://interiorconcepts.com,interiorconcepts.com,furniture,"San Jose, CA",,"[""yellowpages""]",,,2025-10-08T05:38:36.593Z,2025-10-08T05:38:36.593Z
