id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen
5145,Urban Essentials,http://www.urban-essentials.com,urban-essentials.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.721Z,2025-10-08T05:42:32.721Z
5146,Room & Board,https://www.roomandboard.com/stores/washington-dc?Camp=loc_washington,roomandboard.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.721Z,2025-10-08T05:42:32.721Z
5147,Crate and Barrel,http://www.crateandbarrel.com/Stores/the-market-common/str609,crateandbarrel.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.722Z,2025-10-08T05:42:32.749Z
5148,West Elm,http://westelm.com,westelm.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.722Z,2025-10-08T05:42:32.722Z
5149,Furniture From Scandinavia,http://www.furniturefromscandinavia.com,furniturefromscandinavia.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.722Z,2025-10-08T05:42:32.722Z
5150,Theodore's Contemporary Furniture,http://www.theodores.com,theodores.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.722Z,2025-10-08T05:42:32.723Z
5151,Resource Furniture,https://resourcefurniture.com/showrooms/washington-dc,resourcefurniture.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5152,Lovesac,http://www.lovesac.com,lovesac.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5153,Roche Bobois,https://www.roche-bobois.com/en-US/showrooms/washington,roche-bobois.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5154,Ais,http://ais-inc.com,ais-inc.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5155,Century Furniture,http://centuryfurniture.com,centuryfurniture.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5156,Baker Georgetown,https://www.bakerfurniture.com/find-a-location,bakerfurniture.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.725Z
5157,European Furniture,https://www.weschlers.com/asp/searchresults.asp,weschlers.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5158,Parachute Home,https://www.parachutehome.com,parachutehome.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5159,Poliform Washington,http://www.poliformdc.com,poliformdc.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.724Z
5160,Pam Bothwell,http://pambothwell.com,pambothwell.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.723Z,2025-10-08T05:42:32.723Z
5161,Des DC,http://www.des-dc.com/contact,des-dc.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5162,Kogan & Company,https://kogancompany.com,kogancompany.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5163,L'enfant Gallery,http://www.lenfantgallery.1stdibs.com,lenfantgallery.1stdibs.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5164,Boffi Georgetown,http://boffigeorgetown.com,boffigeorgetown.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.746Z
5165,Hollis & Knight,http://hklaw.com,hklaw.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5166,Cantoni,https://www.cantoni.com/stores/washington-dc,cantoni.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5167,Ligne Roset,https://www.ligneroset-dc.com/contact,ligneroset-dc.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5168,Furniture Row,https://www.furniturerow.com/sale?utm_source=FurnitureRowYP&utm_medium=cpc&utm_campaign=FR,furniturerow.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5169,Foundry,https://foundrybyfreeman.com,foundrybyfreeman.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
5170,Sahara Restoration Inc,http://sahararestorations.com,sahararestorations.com,furniture,"Washington, DC",,"[""yellowpages""]",,,2025-10-08T05:42:32.724Z,2025-10-08T05:42:32.724Z
