id,name,website,normalized_domain,industry,location,size_category,source_list,method,fallback_used,first_seen,last_seen,phone,address,address_street,address_city,address_state,address_postal_code,rating,reviews_count,categories,yp_listing_url,hours_text,email
1,Unity Painting Company,http://www.unitypaintingco.com,unitypaintingco.com,"painting company, painting service",,1,"[""apollo""]",,,2025-10-22T04:55:36.566Z,2025-10-22T04:58:32.743Z,,,,Richardson,Texas,,,,,https://app.apollo.io/#/organizations/6749a12aea538400012415fc?overrideScoreId=score,,
2,A&K Painting Company,http://www.akpainting.com,akpainting.com,"painting company, painting service",,120,"[""apollo""]",,,2025-10-22T04:55:36.578Z,2025-10-22T04:58:32.743Z,,,,Charlotte,North Carolina,,,,,https://app.apollo.io/#/organizations/54a11eb469702d77c29b9b01?overrideScoreId=score,,
3,Arizona Painting Company,http://www.arizonapaintingcompany.com,arizonapaintingcompany.com,"painting company, painting service",,65,"[""apollo""]",,,2025-10-22T04:55:36.578Z,2025-10-22T04:58:32.743Z,,,,Chandler,Arizona,,,,,https://app.apollo.io/#/organizations/55696f187369642529bb2b00?overrideScoreId=score,,
4,CertaPro Painters,http://www.certapro.com,certapro.com,"painting company, painting service",,,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.744Z,,,,Norristown,Pennsylvania,,,,,https://app.apollo.io/#/organizations/54a1281a69702db87870bb00?overrideScoreId=score,,
5,Long Painting Company,http://www.longpainting.com,longpainting.com,"painting company, painting service",,120,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.744Z,,,,Kent,Washington,,,,,https://app.apollo.io/#/organizations/54a1206969702d8aa13d4102?overrideScoreId=score,,
6,Coyles Painting,http://www.coylespainting.com,coylespainting.com,"painting company, painting service",,18,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.744Z,,,,Mesa,Arizona,,,,,https://app.apollo.io/#/organizations/5592306f736964191ec1bd00?overrideScoreId=score,,
7,Fresh Coat Painters,http://www.freshcoatpainters.com,freshcoatpainters.com,"painting company, painting service",,340,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.744Z,,,,Cincinnati,Ohio,,,,,https://app.apollo.io/#/organizations/5f7619fc0a4884008dd1d059?overrideScoreId=score,,
8,Painter Bros,http://www.painterbros.com,painterbros.com,"painting company, painting service",,190,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.745Z,,,,American Fork,Utah,,,,,https://app.apollo.io/#/organizations/60f648f7c0fda10001b16b6f?overrideScoreId=score,,
9,Vivax Pros,http://www.vivaxpros.com,vivaxpros.com,"painting company, painting service",,350,"[""apollo""]",,,2025-10-22T04:55:36.579Z,2025-10-22T04:58:32.745Z,,,,Denver,Colorado,,,,,https://app.apollo.io/#/organizations/5da448f510ef7e00014d4a1a?overrideScoreId=score,,
10,Zack Painting Company,http://www.zackpainting.com,zackpainting.com,"painting company, painting service",,54,"[""apollo""]",,,2025-10-22T04:55:36.580Z,2025-10-22T04:58:32.745Z,,,,Woodbridge Township,New Jersey,,,,,https://app.apollo.io/#/organizations/5500c3da73696460fc534900?overrideScoreId=score,,
