Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
HOLT CAT,http://www.holtcat.com,,,San Antonio,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/54a11b3e69702da753222900?overrideScoreId=score,,,,http://www.linkedin.com/company/holt-cat,https://www.facebook.com/HOLTCAT/,https://twitter.com/HOLT_CAT,,,
Ritchie Bros.,http://www.ritchiebros.com,,,Westchester,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a23b947468693fda2e3218?overrideScoreId=score,,,auctions+141,http://www.linkedin.com/company/ritchie-bros,,,,,
Neighborly®,http://www.neighborlybrands.com,,,Waco,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/5d09e03680f93e5f6e32c149?overrideScoreId=score,,,infrastructure+110,http://www.linkedin.com/company/neighborly,https://facebook.com/neighborlybrands/,https://twitter.com/neighborlybrand,,,
Standard Drywall Inc.,http://www.standarddrywall.com,,,Corona,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a19e1474686945faba4302?overrideScoreId=score,,,acoustical+123,http://www.linkedin.com/company/standard-drywall-inc.,https://facebook.com/standard-drywall-inc-2224929251061835,,,,
CertaPro Painters,http://www.certapro.com,,,Norristown,Pennsylvania,,,,,,apollo,"painting company, painting services - Pennsylvania",https://app.apollo.io/#/organizations/54a1281a69702db87870bb00?overrideScoreId=score,,,,http://www.linkedin.com/company/certapro-painters,https://facebook.com/certapropainters,https://twitter.com/CertaPro,,,
Royal Prestige,http://www.a-remodeling.com,,,Miami,Florida,,,,,,apollo,"painting company, painting services - Florida",https://app.apollo.io/#/organizations/5da4deda8c89ce0001a229a4?overrideScoreId=score,,,manufacturing+55,http://www.linkedin.com/company/royal-prestige,,,,,
Service King Collision,http://www.serviceking.com,,,Richardson,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/54a1b8557468694012f6fc0a?overrideScoreId=score,,,paint & body shops+125,http://www.linkedin.com/company/service-king,https://facebook.com/ServiceKingCollisionRepairofFayetteville,https://twitter.com/Service_King,,,
Waupaca Foundry,http://www.waupacafoundry.com,,,Waupaca,Wisconsin,,,,,,apollo,"painting company, painting services - Wisconsin",https://app.apollo.io/#/organizations/54a129cc69702d9b8bfbd401?overrideScoreId=score,,,gray iron+142,http://www.linkedin.com/company/waupaca-foundry,https://www.facebook.com/WaupacaFoundry,https://twitter.com/WaupacaFoundry,,,
Painting with a Twist,http://www.paintingwithatwist.com,,,Mandeville,Louisiana,,,,,,apollo,"painting company, painting services - Louisiana",https://app.apollo.io/#/organizations/54a13bf469702db45deead01?overrideScoreId=score,,,paintingart class+50,http://www.linkedin.com/company/painting-with-a-twist,https://facebook.com/paintingwithatwistcorp/,https://twitter.com/pwatcorporate,,,
CARSTAR Auto Body Repair Experts,http://www.carstar.com,,,Conway,Arkansas,,,,,,apollo,"painting company, painting services - Arkansas",https://app.apollo.io/#/organizations/54a1cc5574686954757c7f11?overrideScoreId=score,,,collision repair+135,http://www.linkedin.com/company/carstar,https://www.facebook.com/CARSTAR/,https://twitter.com/CARSTARAutoBody,,,
Quinn Company,http://www.quinncompany.com,,,City of Industry,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a1396269702d2bfd885200?overrideScoreId=score,,,,http://www.linkedin.com/company/quinn-group,https://www.facebook.com/quinncompany/,https://twitter.com/Quinn_Cat,,,
EmpireWorks Reconstruction,http://www.empireworks.com,,,Irvine,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a1f93c7468692e71291c02?overrideScoreId=score,,900,exterior reconstruction+65,http://www.linkedin.com/company/empireworks,https://facebook.com/empireworks,https://twitter.com/rooter_hero,,,
F & P America,http://www.fandp.com,,,Troy,Ohio,,,,,,apollo,"painting company, painting services - Ohio",https://app.apollo.io/#/organizations/54a134a769702d42558c3700?overrideScoreId=score,,900,,http://www.linkedin.com/company/f-&-p-america,,,,,
Place Services Inc.,http://www.placeservicesinc.com,,,Canton,Georgia,,,,,,apollo,"painting company, painting services - Georgia",https://app.apollo.io/#/organizations/54a1a1b37468695860177003?overrideScoreId=score,,800,nationwide licensing+63,http://www.linkedin.com/company/place-services-inc-,https://www.facebook.com/PlaceServicesIncorporated,,,,
College Works Painting,http://www.collegeworks.com,,,Irvine,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a1341b69702d2db4495e00?overrideScoreId=score,,580,paintingleading+44,http://www.linkedin.com/company/college-works-painting,https://facebook.com/collegeworks,https://twitter.com/College_Works,,,
Asian Paints Bangladesh Ltd.,http://www.asianpaints.com.bd,,,Cranberry,Pennsylvania,,,,,,apollo,"painting company, painting services - Pennsylvania",https://app.apollo.io/#/organizations/5ed1e6177101280001c22c69?overrideScoreId=score,,470,manufacturing+85,http://www.linkedin.com/company/asianpaintsbd,https://www.facebook.com/asianpaints,https://twitter.com/asianpaints,,,
Essor,http://www.goessor.com,,,Paris,New York,,,,,,apollo,"painting company, painting services - New York",https://app.apollo.io/#/organizations/5fd33f8c62959600beeca5e3?overrideScoreId=score,,410,,http://www.linkedin.com/company/goessor,,,,,
